PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52973 $  1003   $  1225053407  $  6924902214     $    74724625  $   245400506  $   243409444  $     2201623  $      42      $       0      $      97      $           0  $              $0.176906      $74724624.000000      $15.658657 $15.531610 $0.140482 $     1.01  $   110.56  
52971 $  1003   $  4068908251  $  8876351856     $    34325307  $   230322196  $   177082779  $    40089721  $       0      $       0      $      97      $           0  $              $0.458399      $34325308.000000      $14.696530 $11.299400 $2.558068 $     1.30  $     4.42  
52973 $  2006   $  1159131006  $  6352112660     $    67948817  $   219342360  $   217654870  $     2013076  $      42      $       0      $      97      $           0  $              $0.182480      $67948816.000000      $13.995924 $13.888247 $0.128452 $     1.01  $   108.12  
52971 $  2006   $  4294353212  $  9224706006     $    41084564  $   274736725  $   211397253  $    47192311  $       0      $       0      $      97      $           0  $              $0.465527      $41084564.000000      $17.530560 $13.488957 $3.011274 $     1.30  $     4.48  
52973 $  3009   $  1096252591  $  5862948689     $    61044239  $   198355419  $   196701790  $     2051467  $      41      $       0      $      97      $           0  $              $0.186980      $61044240.000000      $12.656776 $12.551261 $0.130901 $     1.01  $    95.88  
52971 $  3009   $  4408805268  $  9358844082     $    41151176  $   280073396  $   214017660  $    48570573  $       0      $       0      $      97      $           0  $              $0.471084      $41151176.000000      $17.871084 $13.656162 $3.099219 $     1.31  $     4.41  
52973 $  4011   $   959793335  $  5174689232     $    54368286  $   175356455  $   174038796  $     2043456  $      40      $       0      $      97      $           0  $              $0.185478      $54368288.000000      $11.200412 $11.116251 $0.130520 $     1.01  $    85.17  
52971 $  4012   $  4322803416  $  9366541342     $    42120162  $   281418465  $   217142338  $    47565572  $       0      $       0      $      97      $           0  $              $0.461515      $42120160.000000      $17.956911 $13.855543 $3.035091 $     1.30  $     4.57  
52973 $  5013   $  1240039112  $  6939313416     $    74566875  $   240717281  $   238743838  $     1958345  $      43      $       0      $      97      $           0  $              $0.178698      $74566872.000000      $15.375155 $15.249107 $0.125084 $     1.01  $   121.91  
52971 $  5014   $  4297408568  $  9249488444     $    41353341  $   275517426  $   212090070  $    47225391  $       0      $       0      $      97      $           0  $              $0.464610      $41353340.000000      $17.597919 $13.546671 $3.016392 $     1.30  $     4.49  
52973 $  6015   $  1178949000  $  6502843983     $    69922104  $   225055686  $   223101802  $     2089349  $      42      $       0      $      97      $           0  $              $0.181297      $69922104.000000      $14.374814 $14.250015 $0.133451 $     1.01  $   106.78  
52971 $  6017   $  4291312497  $  9222551863     $    40960827  $   274249764  $   211010723  $    47149582  $       0      $       0      $      97      $           0  $              $0.465306      $40960828.000000      $17.499487 $13.464293 $3.008548 $     1.30  $     4.48  
52973 $  7017   $  1063258526  $  5877756685     $    63088985  $   203516076  $   201837136  $     2085384  $      41      $       0      $      97      $           0  $              $0.180895      $63088984.000000      $12.999031 $12.891793 $0.133198 $     1.01  $    96.79  
52971 $  7019   $  4319352806  $  9357974059     $    42101762  $   280830750  $   216637352  $    47527411  $       0      $       0      $      97      $           0  $              $0.461569      $42101760.000000      $17.937294 $13.837116 $3.035683 $     1.30  $     4.56  
52973 $  8019   $   974690765  $  5310078501     $    56310985  $   182615669  $   181099786  $     2008964  $      40      $       0      $      97      $           0  $              $0.183555      $56310984.000000      $11.664074 $11.567252 $0.128317 $     1.01  $    90.15  
52971 $  8021   $  4324739990  $  9363679188     $    42248199  $   282056123  $   217688611  $    47612246  $       0      $       0      $      97      $           0  $              $0.461863      $42248200.000000      $18.015560 $13.904263 $3.041102 $     1.30  $     4.57  
52973 $  8457   $   614966925  $  3605034957     $    39980988  $   129610765  $   128669258  $      769203  $      18      $       0      $      97      $           0  $              $0.170586      $39980988.000000      $18.938560 $18.800987 $0.112395 $     1.01  $   167.28  
52971 $  8460   $  1619665773  $  3361604591     $    15682496  $   104514812  $    80170116  $    18242585  $       0      $       0      $      97      $           0  $              $0.481813      $15682496.000000      $15.236784 $11.687670 $2.659511 $     1.30  $     4.39  
52973 $  9088   $   658609612  $  3254640017     $    30552053  $   101956425  $   101603804  $       15103  $      16      $       0      $      97      $           0  $              $0.202360      $30552052.000000      $10.341063 $10.305299 $0.001532 $     1.00  $  6727.39  
52973 $  9090   $      306116  $     2081079     $       25601  $       81962  $       81605  $           6  $       0      $       0      $      97      $           0  $              $0.147095      $25601.000000      $2.622784 $2.611360 $0.000192 $     1.00  $ 13600.83  
52973 $ 10093   $  1193303079  $  6803904504     $    74642179  $   242933560  $   240955720  $     1746063  $      42      $       0      $      97      $           0  $              $0.175385      $74642176.000000      $15.501245 $15.375040 $0.111414 $     1.01  $   138.00  
52991 $  1003   $  4056478625  $  8948832585     $    34563965  $   229926466  $   187572330  $    39949730  $       0      $       0      $      97      $           0  $              $0.453297      $34563964.000000      $14.671280 $11.968723 $2.549135 $     1.23  $     4.70  
52973 $ 11095   $  1102609195  $  6183867098     $    66931886  $   217279163  $   215560366  $     1982722  $      41      $       0      $      97      $           0  $              $0.178304      $66931888.000000      $13.878111 $13.768327 $0.126641 $     1.01  $   108.72  
52991 $  2005   $  4232024990  $  9219741921     $    41133211  $   273482592  $   223550255  $    46597605  $       0      $       0      $      97      $           0  $              $0.459018      $41133212.000000      $17.467951 $14.278659 $2.976294 $     1.22  $     4.80  
52973 $ 12097   $  1043023309  $  5556723655     $    58029888  $   187006166  $   185624945  $     2016083  $      41      $       0      $      97      $           0  $              $0.187705      $58029888.000000      $11.944506 $11.856284 $0.128772 $     1.01  $    92.07  
52991 $  3007   $  4248892253  $  9222524385     $    40994758  $   274358886  $   223824152  $    46827322  $       0      $       0      $      97      $           0  $              $0.460708      $40994760.000000      $17.523920 $14.296154 $2.990967 $     1.23  $     4.78  
52973 $ 13099   $  1046462522  $  5578089163     $    57484799  $   185139180  $   183667959  $     1923994  $      40      $       0      $      97      $           0  $              $0.187602      $57484800.000000      $11.825257 $11.731286 $0.122890 $     1.01  $    95.46  
52991 $  4009   $  4294641876  $  9342790199     $    40943016  $   274692463  $   224154870  $    47141751  $       0      $       0      $      97      $           0  $              $0.459674      $40943016.000000      $17.545227 $14.317277 $3.011050 $     1.23  $     4.75  
52991 $  4075   $   292467460  $   581626759     $     2752816  $    20326838  $    15433907  $     3244515  $       0      $       0      $      97      $           0  $              $0.502844      $2752816.000000      $19.710873 $14.966213 $3.146196 $     1.32  $     4.76  
52973 $ 13165   $    22027673  $   145980869     $     1686598  $     5428912  $     5375986  $      120024  $       2      $       0      $      97      $           0  $              $0.150894      $1686598.000000      $5.264400 $5.213078 $0.116387 $     1.01  $    44.79  
