PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52561 $  1003   $  4076775058  $  7380909297     $      148778  $    82009691  $    64940160  $    61942247  $      43      $       0      $      97      $           0  $              $0.552341      $148778.000000      $5.232921 $4.143739 $3.952446 $     1.26  $     1.05  
52559 $  1003   $  2972934107  $  8824455210     $    13131746  $   332682065  $   328547686  $    10472811  $       0      $       0      $      97      $           0  $              $0.336897      $13131746.000000      $21.227970 $20.964159 $0.668255 $     1.01  $    31.37  
52561 $  2005   $  5038883236  $  9059277162     $       52453  $   102575970  $    81276346  $    77470323  $      46      $       0      $      97      $           0  $              $0.556213      $52453.000000      $6.551758 $5.191303 $4.948204 $     1.26  $     1.05  
52559 $  2005   $  2998650010  $  9123759990     $    13857495  $   339769662  $   335528776  $    10646632  $       0      $       0      $      97      $           0  $              $0.328664      $13857495.000000      $21.701855 $21.430979 $0.680024 $     1.01  $    31.52  
52561 $  3008   $  5038849472  $  9059613778     $       53091  $   102571596  $    81269255  $    77463197  $      46      $       0      $      97      $           0  $              $0.556188      $53091.000000      $6.544948 $5.185675 $4.942816 $     1.26  $     1.05  
52559 $  3008   $  3000145049  $  9123618548     $    13863214  $   339959858  $   335696449  $    10651653  $       0      $       0      $      97      $           0  $              $0.328833      $13863214.000000      $21.692354 $21.420311 $0.679667 $     1.01  $    31.52  
52561 $  4010   $  5032697051  $  9049649206     $       54505  $   102488985  $    81180559  $    77388202  $      46      $       0      $      97      $           0  $              $0.556121      $54505.000000      $6.546203 $5.185185 $4.942959 $     1.26  $     1.05  
52559 $  4011   $  3019829143  $  9107375520     $    13710958  $   336953185  $   332692082  $    10903040  $       0      $       0      $      97      $           0  $              $0.331581      $13710958.000000      $21.500502 $21.228609 $0.695707 $     1.01  $    30.51  
52561 $  5012   $  5038977108  $  9058476631     $       53792  $   102577648  $    81273274  $    77468347  $      46      $       0      $      97      $           0  $              $0.556272      $53792.000000      $6.551866 $5.191107 $4.948078 $     1.26  $     1.05  
52559 $  5013   $  2999248080  $  9122548212     $    13856809  $   339893830  $   335597049  $    10649872  $       0      $       0      $      97      $           0  $              $0.328773      $13856809.000000      $21.709785 $21.435341 $0.680231 $     1.01  $    31.51  
52561 $  6014   $  5038689281  $  9058974694     $       52618  $   102576402  $    81276611  $    77468747  $      46      $       0      $      97      $           0  $              $0.556210      $52618.000000      $6.551786 $5.191320 $4.948103 $     1.26  $     1.05  
52559 $  6015   $  2999597313  $  9122576642     $    13868588  $   339900146  $   335633134  $    10648422  $       0      $       0      $      97      $           0  $              $0.328810      $13868588.000000      $21.710190 $21.437645 $0.680139 $     1.01  $    31.52  
52561 $  7016   $  5038281597  $  9058536196     $       53333  $   102560276  $    81269528  $    77453964  $      46      $       0      $      97      $           0  $              $0.556192      $53333.000000      $6.550756 $5.190868 $4.947160 $     1.26  $     1.05  
52559 $  7017   $  3024345777  $  9115775851     $    13746738  $   337832120  $   333549814  $    10928317  $       0      $       0      $      97      $           0  $              $0.331771      $13746738.000000      $21.578100 $21.304579 $0.698016 $     1.01  $    30.52  
52559 $  7294   $   890089282  $  2584867975     $     3764524  $   100672373  $    99538591  $     2085868  $       0      $       0      $      97      $           0  $              $0.344346      $3764524.000000      $23.260044 $22.998087 $0.481933 $     1.01  $    47.72  
52561 $  7293   $   963412082  $  1709514629     $      119186  $    19465677  $    15225808  $    14517858  $      11      $       0      $      97      $           0  $              $0.563559      $119186.000000      $4.497485 $3.517876 $3.354306 $     1.28  $     1.05  
52559 $  8103   $  2887817121  $  7721872164     $    10406918  $   325545910  $   322610790  $      110733  $       0      $       0      $      97      $           0  $              $0.373979      $10406918.000000      $25.753942 $25.521744 $0.008760 $     1.01  $  2913.41  
52559 $  8106   $      659368  $     1772304     $        2292  $       74316  $       73660  $          25  $       0      $       0      $      97      $           0  $              $0.372040      $2292.000000      $1.585408 $1.571413 $0.000533 $     1.01  $  2946.40  
52559 $  9108   $  2971371731  $  8790405028     $    12843519  $   336531406  $   332397283  $    10435246  $      44      $       0      $      97      $           0  $              $0.338024      $12843519.000000      $21.495020 $21.230965 $0.666523 $     1.01  $    31.85  
52579 $  1002   $  4085237946  $  7404435414     $       75225  $    82073897  $    64976707  $    62082046  $       0      $       0      $      97      $           0  $              $0.551728      $75225.000000      $5.242245 $4.150209 $3.965320 $     1.26  $     1.05  
52579 $  2005   $  5018296787  $  9010101979     $       56884  $   101947786  $    80513603  $    76933403  $      43      $       0      $      97      $           0  $              $0.556963      $56884.000000      $6.505143 $5.137458 $4.909010 $     1.27  $     1.05  
52559 $ 10111   $  2688904711  $  7849659154     $    10022515  $   287811491  $   284121117  $    15545550  $       0      $       0      $      97      $           0  $              $0.342550      $10022515.000000      $18.364841 $18.129364 $0.991939 $     1.01  $    18.28  
52579 $  3007   $  5041944615  $  9062151496     $       53556  $   102505745  $    81104730  $    77489308  $      46      $       0      $      97      $           0  $              $0.556374      $53556.000000      $6.547273 $5.180342 $4.949417 $     1.26  $     1.05  
52559 $ 11113   $  3002422506  $  9122453685     $    13885995  $   340204905  $   335952611  $    10659964  $       0      $       0      $      97      $           0  $              $0.329124      $13885995.000000      $21.729654 $21.458052 $0.680876 $     1.01  $    31.52  
52579 $  4009   $  5042508357  $  9062652051     $       54127  $   102530109  $    81118076  $    77514509  $      46      $       0      $      97      $           0  $              $0.556405      $54127.000000      $6.548830 $5.181195 $4.951027 $     1.26  $     1.05  
52559 $ 12115   $  3003047179  $  9122488278     $    13874867  $   340282047  $   336026599  $    10665464  $       0      $       0      $      97      $           0  $              $0.329192      $13874867.000000      $21.734581 $21.462776 $0.681227 $     1.01  $    31.51  
52579 $  5011   $  5041591257  $  9062244343     $       52841  $   102507560  $    81088621  $    77494168  $      46      $       0      $      97      $           0  $              $0.556329      $52841.000000      $6.547389 $5.179313 $4.949728 $     1.26  $     1.05  
52559 $ 13117   $  3026638058  $  9115787313     $    13757624  $   338077049  $   333800028  $    10935771  $       0      $       0      $      97      $           0  $              $0.332022      $13757624.000000      $21.593744 $21.320560 $0.698492 $     1.01  $    30.52  
52579 $  6014   $  5041759344  $  9062259709     $       53697  $   102510216  $    81097194  $    77499397  $      46      $       0      $      97      $           0  $              $0.556347      $53697.000000      $6.541031 $5.174696 $4.945126 $     1.26  $     1.05  
52559 $ 14120   $  3002964368  $  9122319273     $    13876400  $   340279434  $   336014250  $    10662137  $       0      $       0      $      97      $           0  $              $0.329189      $13876400.000000      $21.712746 $21.440590 $0.680336 $     1.01  $    31.51  
