PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53296 $  1003   $  1218257036  $  6926650433     $    74536603  $   243704664  $   242163589  $     3199784  $      40      $       0      $      97      $           0  $              $0.175880      $74536600.000000      $15.550447 $15.452113 $0.204174 $     1.01  $    75.68  
53294 $  1003   $  4100741128  $  7426875408     $      133904  $    82471237  $    65365088  $    62316866  $       0      $       0      $      97      $           0  $              $0.552149      $133904.000000      $5.262372 $4.170853 $3.976350 $     1.26  $     1.05  
53296 $  2005   $  1144832397  $  6330894621     $    67221645  $   217107681  $   215656032  $     3147757  $      41      $       0      $      97      $           0  $              $0.180833      $67221648.000000      $13.867157 $13.774437 $0.201054 $     1.01  $    68.51  
53294 $  2005   $  5111318118  $  9169841024     $       53877  $   103791980  $    82342684  $    78364732  $       0      $       0      $      97      $           0  $              $0.557405      $53877.000000      $6.629428 $5.259413 $5.005332 $     1.26  $     1.05  
53296 $  3007   $  1070281064  $  5770409686     $    59931452  $   193067679  $   191816659  $     3252809  $      41      $       0      $      97      $           0  $              $0.185477      $59931452.000000      $12.331668 $12.251762 $0.207764 $     1.01  $    58.97  
53294 $  3007   $  5232048057  $  9284605083     $       55387  $   108578034  $    85395741  $    81518607  $       0      $       0      $      97      $           0  $              $0.563519      $55387.000000      $6.935124 $5.454419 $5.206778 $     1.27  $     1.05  
53296 $  4009   $   941866626  $  5153368730     $    53742892  $   171551549  $   170556198  $     3017017  $      39      $       0      $      97      $           0  $              $0.182767      $53742892.000000      $10.957384 $10.893808 $0.192704 $     1.01  $    56.53  
53294 $  4009   $  5143723951  $  9289134418     $       52655  $   104152029  $    82791477  $    78871751  $       0      $       0      $      97      $           0  $              $0.553736      $52655.000000      $6.652425 $5.288079 $5.037717 $     1.26  $     1.05  
53296 $  5012   $  1246708614  $  7048836228     $    75981682  $   246345687  $   244657955  $     3332881  $      42      $       0      $      97      $           0  $              $0.176867      $75981680.000000      $15.718966 $15.611275 $0.212666 $     1.01  $    73.41  
53294 $  5012   $  5086154664  $  9159667068     $       52605  $   103372094  $    82022245  $    78148910  $       0      $       0      $      97      $           0  $              $0.555277      $52605.000000      $6.596026 $5.233723 $4.986571 $     1.26  $     1.05  
53296 $  6015   $  1153651696  $  6384143440     $    68144953  $   217864804  $   216567215  $     3121914  $      41      $       0      $      97      $           0  $              $0.180706      $68144952.000000      $13.901642 $13.818846 $0.199205 $     1.01  $    69.37  
53294 $  6015   $  5093848717  $  9173698343     $       53537  $   103486062  $    82131746  $    78261003  $       0      $       0      $      97      $           0  $              $0.555267      $53537.000000      $6.603298 $5.240709 $4.993723 $     1.26  $     1.05  
53296 $  7018   $  1077221914  $  5824365040     $    60491687  $   195916336  $   194588109  $     3149087  $      41      $       0      $      97      $           0  $              $0.184951      $60491688.000000      $12.501143 $12.416390 $0.200939 $     1.01  $    61.79  
53294 $  7018   $  5139567111  $  9285304307     $       52769  $   104052106  $    82697033  $    78780886  $       0      $       0      $      97      $           0  $              $0.553516      $52769.000000      $6.639416 $5.276780 $5.026896 $     1.26  $     1.05  
53296 $  7126   $   117267109  $   786248613     $     9226058  $    30912288  $    30712123  $      134476  $       3      $       0      $      97      $           0  $              $0.149148      $9226058.000000      $18.318394 $18.199778 $0.079689 $     1.01  $   228.38  
53294 $  7126   $   229534079  $   266146147     $       62099  $     6204023  $     4126145  $     4005423  $       0      $       0      $      97      $           0  $              $0.862436      $62099.000000      $3.676458 $2.445123 $2.373584 $     1.50  $     1.03  
53296 $  8095   $  1023442888  $  5581809014     $    57907879  $   194817997  $   194006897  $       59654  $      26      $       0      $      97      $           0  $              $0.183353      $57907880.000000      $12.867236 $12.813665 $0.003940 $     1.00  $  3252.20  
53296 $  8097   $      712825  $     4880947     $       56614  $      203963  $      202507  $           0  $       0      $       0      $      97      $           0  $              $0.146042      $56614.000000      $6.526816 $6.480224 $0.000000 $     1.01  $      inf  
53296 $  9099   $  1160394648  $  6130692692     $    62035118  $   200307734  $   199208229  $     2601904  $      39      $       0      $      97      $           0  $              $0.189276      $62035120.000000      $12.794106 $12.723879 $0.166189 $     1.01  $    76.56  
53314 $  1003   $  4213897842  $  7585694443     $      130356  $    85096877  $    67294793  $    64080806  $       0      $       0      $      97      $           0  $              $0.555506      $130356.000000      $5.429911 $4.293985 $4.088905 $     1.26  $     1.05  
