PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53388 $  1003   $ 20230421098  $  8760417329     $     3449831  $   316490523  $   316551104  $    21641443  $      45      $       0      $      97      $           0  $              $2.309299      $3449831.000000      $20.194809 $20.198675 $1.380910 $     1.00  $    14.63  
53386 $  1004   $  4034857140  $  7284797500     $      119002  $    81689770  $    64534157  $    61373337  $       0      $       0      $      97      $           0  $              $0.553874      $119002.000000      $5.207316 $4.113731 $3.912245 $     1.27  $     1.05  
53388 $  2005   $ 20813294404  $  9094250229     $     3513820  $   325600360  $   325652606  $    25279653  $      49      $       0      $      97      $           0  $              $2.288621      $3513820.000000      $20.796829 $20.800167 $1.614668 $     1.00  $    12.88  
53386 $  2006   $  5026670618  $  9031269791     $       58678  $   102692036  $    81276969  $    77245360  $       0      $       0      $      97      $           0  $              $0.556585      $58678.000000      $6.559172 $5.191343 $4.933836 $     1.26  $     1.05  
53388 $  3007   $ 20702495618  $  9089204824     $     3486469  $   323562514  $   323627471  $    25138798  $      49      $       0      $      97      $           0  $              $2.277701      $3486469.000000      $20.666668 $20.670816 $1.605672 $     1.00  $    12.87  
53386 $  3008   $  5022111755  $  9033210605     $       58952  $   102622546  $    81215462  $    77197963  $       0      $       0      $      97      $           0  $              $0.555961      $58952.000000      $6.554733 $5.187415 $4.930808 $     1.26  $     1.05  
53388 $  4009   $ 20814948111  $  9093977172     $     3517966  $   325583495  $   325641737  $    25114461  $      49      $       0      $      97      $           0  $              $2.288872      $3517966.000000      $20.795752 $20.799471 $1.604117 $     1.00  $    12.97  
53386 $  4010   $  5026107896  $  9031450803     $       58795  $   102683980  $    81270159  $    77242464  $       0      $       0      $      97      $           0  $              $0.556512      $58795.000000      $6.558658 $5.190908 $4.933650 $     1.26  $     1.05  
53388 $  5011   $ 20807050228  $  9095023605     $     3509556  $   325505752  $   325551442  $    25298183  $      49      $       0      $      97      $           0  $              $2.287740      $3509556.000000      $20.790787 $20.793705 $1.615852 $     1.00  $    12.87  
53386 $  5012   $  5027349482  $  9032709780     $       59132  $   102696791  $    81273994  $    77252871  $       0      $       0      $      97      $           0  $              $0.556572      $59132.000000      $6.559476 $5.191153 $4.934315 $     1.26  $     1.05  
53388 $  6013   $ 20724772105  $  9087056492     $     3490515  $   324002088  $   324059919  $    25335175  $      49      $       0      $      97      $           0  $              $2.280691      $3490515.000000      $20.694744 $20.698437 $1.618215 $     1.00  $    12.79  
53386 $  6014   $  5023000439  $  9031267706     $       59431  $   102635932  $    81227002  $    77198957  $       0      $       0      $      97      $           0  $              $0.556179      $59431.000000      $6.555589 $5.188152 $4.930871 $     1.26  $     1.05  
53388 $  7016   $ 20807393365  $  9094782703     $     3517763  $   325408701  $   325477763  $    24969700  $      49      $       0      $      97      $           0  $              $2.287838      $3517763.000000      $20.763865 $20.768272 $1.593281 $     1.00  $    13.03  
53386 $  7017   $  5024931947  $  9032518262     $       59451  $   102682772  $    81268257  $    77244968  $       0      $       0      $      97      $           0  $              $0.556316      $59451.000000      $6.552041 $5.185612 $4.928891 $     1.26  $     1.05  
53388 $  7285   $  5852894857  $  2491760709     $      991938  $    91451487  $    91464855  $     4985070  $      12      $       0      $      97      $           0  $              $2.348899      $991938.000000      $21.757975 $21.761156 $1.186039 $     1.00  $    18.35  
53386 $  7286   $   942626884  $  1661058973     $      114532  $    19211989  $    14952131  $    14222335  $       0      $       0      $      97      $           0  $              $0.567486      $114532.000000      $4.570882 $3.557384 $3.383753 $     1.28  $     1.05  
53388 $  8099   $ 19785015435  $  7777137657     $     3452997  $   309505315  $   309464646  $     1049804  $      30      $       0      $      97      $           0  $              $2.543997      $3452997.000000      $24.334570 $24.331371 $0.082540 $     1.00  $   294.78  
53388 $  8101   $    15536794  $     6134571     $        2821  $      243193  $      243323  $         845  $       0      $       0      $      97      $           0  $              $2.532662      $2821.000000      $7.782176 $7.786336 $0.027040 $     1.00  $   287.96  
53388 $  9103   $ 21141575990  $  9094683081     $     3602423  $   330421614  $   330481771  $    21114617  $      47      $       0      $      97      $           0  $              $2.324608      $3602423.000000      $21.104773 $21.108616 $1.348638 $     1.00  $    15.65  
53406 $  1002   $  4073478298  $  7380652408     $      148048  $    82243282  $    65107582  $    61854997  $       0      $       0      $      97      $           0  $              $0.551913      $148048.000000      $5.253064 $4.158568 $3.950818 $     1.26  $     1.05  
53388 $ 10105   $ 20794355857  $  9086104431     $     3506046  $   325302490  $   325355252  $    25357252  $      49      $       0      $      97      $           0  $              $2.288589      $3506046.000000      $20.777803 $20.781174 $1.619625 $     1.00  $    12.83  
53406 $  2004   $  5030225962  $  9029861784     $       59371  $   102765529  $    81372510  $    77296454  $       0      $       0      $      97      $           0  $              $0.557066      $59371.000000      $6.563866 $5.197446 $4.937099 $     1.26  $     1.05  
53388 $ 11107   $ 20799308955  $  9087708654     $     3507490  $   325383074  $   325426705  $    25422170  $      49      $       0      $      97      $           0  $              $2.288730      $3507490.000000      $20.782951 $20.785738 $1.623771 $     1.00  $    12.80  
53406 $  3006   $  5030748451  $  9030484230     $       60205  $   102769330  $    81387349  $    77291867  $       0      $       0      $      97      $           0  $              $0.557085      $60205.000000      $6.564109 $5.198394 $4.936806 $     1.26  $     1.05  
53388 $ 12109   $ 20703214187  $  9079448013     $     3491750  $   323551782  $   323630028  $    25145705  $      49      $       0      $      97      $           0  $              $2.280228      $3491750.000000      $20.665981 $20.670979 $1.606113 $     1.00  $    12.87  
53406 $  4008   $  5024838181  $  9029521678     $       59576  $   102710995  $    81319416  $    77245438  $       0      $       0      $      97      $           0  $              $0.556490      $59576.000000      $6.560383 $5.194055 $4.933840 $     1.26  $     1.05  
53388 $ 13112   $ 20804889354  $  9089923895     $     3507409  $   325467858  $   325522179  $    25400356  $      49      $       0      $      97      $           0  $              $2.288786      $3507409.000000      $20.767641 $20.771107 $1.620761 $     1.00  $    12.82  
53406 $  5011   $  5032088941  $  9033397201     $       59884  $   102782746  $    81402983  $    77307038  $       0      $       0      $      97      $           0  $              $0.557054      $59884.000000      $6.558420 $5.194208 $4.932852 $     1.26  $     1.05  
53388 $ 14114   $ 20698100400  $  9083319314     $     3480238  $   323558641  $   323612224  $    25731388  $      49      $       0      $      97      $           0  $              $2.278693      $3480238.000000      $20.666422 $20.669842 $1.643522 $     1.00  $    12.58  
53406 $  6013   $  5031545824  $  9032812956     $       58914  $   102752584  $    81360873  $    77287421  $       0      $       0      $      97      $           0  $              $0.557030      $58914.000000      $6.563039 $5.196702 $4.936522 $     1.26  $     1.05  
53388 $ 15116   $ 20837454755  $  9094743215     $     3521742  $   325892718  $   325957400  $    24934465  $      49      $       0      $      97      $           0  $              $2.291154      $3521742.000000      $20.815502 $20.819635 $1.592620 $     1.00  $    13.07  
53406 $  7015   $  5027898306  $  9038467371     $       59362  $   102761860  $    81366243  $    77290010  $       0      $       0      $      97      $           0  $              $0.556278      $59362.000000      $6.563632 $5.197045 $4.936687 $     1.26  $     1.05  
53388 $ 15347   $  5004167345  $  2138288881     $      844511  $    78188628  $    78197212  $     4558860  $      10      $       0      $      97      $           0  $              $2.340267      $844511.000000      $21.662649 $21.665030 $1.263061 $     1.00  $    17.15  
53406 $  7246   $   870508983  $  1488570519     $       91083  $    18270517  $    14033841  $    13345449  $       0      $       0      $      97      $           0  $              $0.584795      $91083.000000      $5.061961 $3.888164 $3.697440 $     1.30  $     1.05  
53388 $ 16179   $ 19793307925  $  7783144906     $     3440323  $   309643692  $   309603564  $     1062827  $      30      $       0      $      97      $           0  $              $2.543099      $3440323.000000      $23.818745 $23.815659 $0.081756 $     1.00  $   291.30  
53388 $ 16181   $    12672278  $     4970084     $        2117  $      198888  $      199011  $         470  $       0      $       0      $      97      $           0  $              $2.549711      $2117.000000      $6.364416 $6.368352 $0.015040 $     1.00  $   423.43  
53411 $   199   $    85455610  $   223003895     $       92803  $       22278  $       17715  $        1617  $       0      $       0      $      97      $           0  $              $0.383202      $92803.000000      $0.007165 $0.005697 $0.000520 $     1.26  $    10.96  
53388 $ 16381   $  4519086607  $  1795292541     $      804137  $    70727863  $    70718679  $      822973  $       7      $       0      $      97      $           0  $              $2.517187      $804137.000000      $22.632917 $22.629978 $0.263351 $     1.00  $    85.93  
