PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49909 $  1003   $  3378930258  $  8825430269     $    40633123  $   237628853  $   196701712  $    34551923  $      33      $       0      $      97      $           0  $              $0.382863      $40633124.000000      $15.162758 $12.551256 $2.204709 $     1.21  $     5.69  
49907 $  1003   $  4679733866  $  2228918409     $      204870  $      594278  $      655241  $       68965  $       0      $       0      $      97      $           0  $              $2.099554      $204870.000000      $0.037920 $0.041810 $0.004401 $     0.91  $     9.50  
49909 $  2006   $  3539638504  $  9167900866     $    43850811  $   260405108  $   215134270  $    40096335  $      36      $       0      $      97      $           0  $              $0.386090      $43850812.000000      $16.616079 $13.727411 $2.558490 $     1.21  $     5.37  
49907 $  2006   $  4715559729  $  2248677756     $      204650  $      600465  $      665318  $       75452  $       0      $       0      $      97      $           0  $              $2.097037      $204650.000000      $0.038315 $0.042453 $0.004814 $     0.90  $     8.82  
49909 $  3009   $  3474668676  $  9221404287     $    44051047  $   257619437  $   214219995  $    38420678  $      36      $       0      $      97      $           0  $              $0.376805      $44051048.000000      $16.438330 $13.669073 $2.451569 $     1.20  $     5.58  
49907 $  3009   $  4749563783  $  2262353220     $      207638  $      603968  $      669201  $       72386  $       0      $       0      $      97      $           0  $              $2.099391      $207638.000000      $0.038538 $0.042701 $0.004619 $     0.90  $     9.24  
49909 $  4012   $  3483477234  $  9169147691     $    47378680  $   277129926  $   229368882  $    40275874  $      36      $       0      $      97      $           0  $              $0.379913      $47378680.000000      $17.683266 $14.635701 $2.569946 $     1.21  $     5.69  
49907 $  4012   $  4714604690  $  2249305749     $      204291  $      599848  $      663190  $       76129  $       0      $       0      $      97      $           0  $              $2.096026      $204291.000000      $0.038275 $0.042317 $0.004858 $     0.90  $     8.71  
49909 $  5015   $  3523863229  $  9167658148     $    44821317  $   265004710  $   219050981  $    40147132  $      36      $       0      $      97      $           0  $              $0.384380      $44821316.000000      $16.909573 $13.977330 $2.561731 $     1.21  $     5.46  
49907 $  5015   $  4711582210  $  2248992688     $      204553  $      599076  $      664241  $       75552  $       0      $       0      $      97      $           0  $              $2.094974      $204553.000000      $0.038226 $0.042384 $0.004821 $     0.90  $     8.79  
49909 $  6017   $  3469095519  $  9168345777     $    43062439  $   252865582  $   210160180  $    38231820  $      36      $       0      $      97      $           0  $              $0.378377      $43062440.000000      $16.151094 $13.423405 $2.441952 $     1.20  $     5.50  
49907 $  6017   $  4712534133  $  2249718387     $      205724  $      599000  $      663328  $       73984  $       0      $       0      $      97      $           0  $              $2.094722      $205724.000000      $0.038259 $0.042368 $0.004726 $     0.90  $     8.97  
49909 $  7020   $  3502846513  $  9224637862     $    47376663  $   277227297  $   229478644  $    40390976  $      36      $       0      $      97      $           0  $              $0.379727      $47376664.000000      $17.689478 $14.642705 $2.577291 $     1.21  $     5.68  
49907 $  7020   $  4742542369  $  2262560964     $      206261  $      603513  $      668204  $       77602  $       0      $       0      $      97      $           0  $              $2.096095      $206261.000000      $0.038509 $0.042637 $0.004952 $     0.90  $     8.61  
49909 $  8023   $  3508395554  $  9168625240     $    45809228  $   269719570  $   223061824  $    40213389  $      36      $       0      $      97      $           0  $              $0.382652      $45809228.000000      $17.210423 $14.233257 $2.565959 $     1.21  $     5.55  
49907 $  8023   $  4710028179  $  2248518132     $      204982  $      599411  $      663110  $       76852  $       0      $       0      $      97      $           0  $              $2.094726      $204982.000000      $0.038248 $0.042312 $0.004904 $     0.90  $     8.63  
49909 $  9026   $  3607950536  $  9369817971     $    44315776  $   263127740  $   217527260  $    40594107  $      36      $       0      $      97      $           0  $              $0.385061      $44315776.000000      $16.789806 $13.880105 $2.590252 $     1.21  $     5.36  
49907 $  9026   $  4826934149  $  2298054635     $      490065  $      614672  $      680422  $       78118  $       0      $       0      $      97      $           0  $              $2.100444      $490065.000000      $0.039221 $0.043417 $0.004985 $     0.90  $     8.71  
49909 $ 10029   $  3517817223  $  9368424469     $    45008297  $   262897955  $   218639298  $    38979652  $      35      $       0      $      97      $           0  $              $0.375497      $45008296.000000      $16.775143 $13.951062 $2.487236 $     1.20  $     5.61  
49907 $ 10029   $  4840240011  $  2298185193     $      692459  $      615956  $      681330  $       73707  $       0      $       0      $      97      $           0  $              $2.106114      $692459.000000      $0.039303 $0.043475 $0.004703 $     0.90  $     9.24  
49907 $ 10798   $  3790742615  $  1790586025     $      439042  $      481839  $      525842  $       43990  $       0      $       0      $      97      $           0  $              $2.117040      $439042.000000      $0.040101 $0.043763 $0.003661 $     0.92  $    11.95  
49909 $ 10798   $  1806931657  $  4818123266     $    27222029  $   156139299  $   129319386  $    21329351  $      23      $       0      $      97      $           0  $              $0.375028      $27222028.000000      $12.994688 $10.762602 $1.775135 $     1.21  $     6.06  
49907 $ 11200   $  2166532472  $  1015248912     $       98639  $      272682  $      283834  $          69  $       0      $       0      $      97      $           0  $              $2.133991      $98639.000000      $0.043412 $0.045188 $0.000011 $     0.96  $  4113.54  
49907 $ 11202   $     2738353  $     1298557     $           1  $         336  $         336  $           0  $       0      $       0      $      97      $           0  $              $2.108766      $1.000000      $0.010752 $0.010752 $0.000000 $     1.00  $      inf  
49907 $ 12205   $  4742795439  $  2254570268     $      688981  $      603726  $      666247  $       71080  $      34      $       0      $      97      $           0  $              $2.103636      $688981.000000      $0.038523 $0.042512 $0.004536 $     0.91  $     9.37  
49924 $  1003   $  3418905917  $  8907201315     $    40469009  $   237890040  $   195138623  $    34828467  $       0      $       0      $      97      $           0  $              $0.383836      $40469008.000000      $15.179425 $12.451517 $2.222355 $     1.22  $     5.60  
49924 $  2006   $  3486097318  $  8967353408     $    42710126  $   254229844  $   207882867  $    39505310  $      34      $       0      $      97      $           0  $              $0.388754      $42710128.000000      $16.222044 $13.264709 $2.520778 $     1.22  $     5.26  
49907 $ 13208   $  4738077773  $  2251745583     $      660398  $      604427  $      669852  $       75986  $       0      $       0      $      97      $           0  $              $2.104180      $660398.000000      $0.038568 $0.042742 $0.004849 $     0.90  $     8.82  
49924 $  3009   $  3445369903  $  9175013860     $    45295508  $   263219289  $   216938975  $    38432248  $      34      $       0      $      97      $           0  $              $0.375517      $45295508.000000      $16.795649 $13.842566 $2.452307 $     1.21  $     5.64  
49907 $ 14211   $  4749798743  $  2252801260     $      688841  $      605186  $      669229  $       73733  $       0      $       0      $      97      $           0  $              $2.108397      $688841.000000      $0.038616 $0.042703 $0.004705 $     0.90  $     9.08  
49924 $  4012   $  3544789038  $  9309725060     $    47402490  $   277551238  $   227650500  $    40704257  $      34      $       0      $      97      $           0  $              $0.380762      $47402488.000000      $17.710148 $14.526053 $2.597281 $     1.22  $     5.59  
49907 $ 15214   $  4813302399  $  2284742209     $      683376  $      613863  $      678652  $       80108  $       0      $       0      $      97      $           0  $              $2.106716      $683376.000000      $0.039170 $0.043304 $0.005112 $     0.90  $     8.47  
49924 $  5015   $  3529064485  $  9174700304     $    45181076  $   266642376  $   218421277  $    40254271  $      34      $       0      $      97      $           0  $              $0.384652      $45181076.000000      $17.014069 $13.937150 $2.568568 $     1.22  $     5.43  
49907 $ 16216   $  4743594481  $  2251520470     $      677989  $      604766  $      668793  $       78205  $       0      $       0      $      97      $           0  $              $2.106840      $677989.000000      $0.038628 $0.042717 $0.004995 $     0.90  $     8.55  
49924 $  6017   $  3524032284  $  9175433992     $    42768193  $   253313239  $   207906310  $    39180178  $      34      $       0      $      97      $           0  $              $0.384073      $42768192.000000      $16.179688 $13.279445 $2.502526 $     1.22  $     5.31  
49907 $ 17218   $  4746786609  $  2252723817     $      688798  $      605065  $      669263  $       73257  $       0      $       0      $      97      $           0  $              $2.107132      $688798.000000      $0.038647 $0.042747 $0.004679 $     0.90  $     9.14  
49924 $  7019   $  3406869164  $  9151728460     $    47678987  $   274506038  $   225919743  $    39037431  $      41      $       0      $      97      $           0  $              $0.372265      $47678988.000000      $17.533321 $14.430003 $2.493409 $     1.22  $     5.79  
49907 $ 18220   $  9102412913  $  6516145625     $      251809  $    26909116  $    36546127  $     9977991  $       0      $       0      $      97      $           0  $              $1.396901      $251809.000000      $1.718746 $2.334284 $0.637317 $     0.74  $     3.66  
49924 $  8021   $  3516380335  $  9145883882     $    43610846  $   258787560  $   211804038  $    39923795  $      45      $       0      $      97      $           0  $              $0.384477      $43610848.000000      $16.529345 $13.528401 $2.550023 $     1.22  $     5.31  
49907 $ 19222   $ 12354482277  $  9143101780     $       77265  $    28327323  $    44572994  $     7996845  $       0      $       0      $      97      $           0  $              $1.351235      $77265.000000      $1.809330 $2.846977 $0.510777 $     0.64  $     5.57  
49924 $  9023   $  3422366246  $  9146899858     $    44431468  $   258758612  $   213167915  $    38159688  $      45      $       0      $      97      $           0  $              $0.374156      $44431468.000000      $16.527496 $13.615516 $2.437345 $     1.21  $     5.59  
49907 $ 20225   $ 12368977991  $  9144305825     $       77195  $    28343558  $    44638582  $     8006226  $       0      $       0      $      97      $           0  $              $1.352643      $77195.000000      $1.808562 $2.848324 $0.510866 $     0.63  $     5.58  
49924 $ 10025   $  3465626152  $  9144660044     $    46752950  $   273560042  $   224209887  $    40090793  $      45      $       0      $      97      $           0  $              $0.378978      $46752952.000000      $17.472897 $14.320791 $2.560689 $     1.22  $     5.59  
49907 $ 21227   $ 12350464316  $  9142207273     $       75936  $    28296429  $    44558334  $     7994376  $       0      $       0      $      97      $           0  $              $1.350928      $75936.000000      $1.807357 $2.846041 $0.510619 $     0.64  $     5.57  
49907 $ 21918   $  8606973797  $  6357227800     $       53291  $    19732115  $    31055599  $     5568944  $       0      $       0      $      97      $           0  $              $1.353888      $53291.000000      $1.827577 $2.876351 $0.515792 $     0.64  $     5.58  
49924 $ 10716   $  2136637698  $  5655559590     $    27832389  $   162233876  $   133259148  $    23974463  $      30      $       0      $      97      $           0  $              $0.377794      $27832388.000000      $15.026003 $12.342381 $2.220500 $     1.22  $     5.56  
49907 $ 22298   $  4926507004  $  3600736997     $       31079  $    11320708  $    17748899  $     3179304  $       0      $       0      $      97      $           0  $              $1.368194      $31079.000000      $1.906646 $2.989288 $0.535462 $     0.64  $     5.58  
49907 $ 22301   $     1782671  $     1299613     $           0  $        1480  $        1227  $        1215  $       0      $       0      $      97      $           0  $              $1.371694      $0.000000      $0.031573 $0.026176 $0.025920 $     1.21  $     1.01  
49907 $ 23303   $ 12230518743  $  9084579127     $       78611  $    28010649  $    44009047  $     7903556  $      44      $       0      $      97      $           0  $              $1.346295      $78611.000000      $1.789103 $2.810957 $0.504818 $     0.64  $     5.57  
49932 $  1002   $  3402515871  $  8875070525     $    41647870  $   237755506  $   193059472  $    34758630  $       0      $       0      $      97      $           0  $              $0.383379      $41647872.000000      $15.185980 $12.331144 $2.220112 $     1.23  $     5.55  
49932 $  2005   $  3523138115  $  9091856587     $    43007418  $   255677631  $   207087452  $    39838780  $      44      $       0      $      97      $           0  $              $0.387505      $43007416.000000      $16.314425 $13.213955 $2.542056 $     1.23  $     5.20  
49907 $ 24306   $ 11952437979  $  8888201522     $       74006  $    27208914  $    42703273  $     7722486  $       0      $       0      $      97      $           0  $              $1.344753      $74006.000000      $1.736162 $2.724835 $0.492761 $     0.64  $     5.53  
49932 $  3008   $  3430598982  $  9146394550     $    45120763  $   261948015  $   213692417  $    38331099  $      45      $       0      $      97      $           0  $              $0.375077      $45120764.000000      $16.714529 $13.635408 $2.445853 $     1.23  $     5.57  
49907 $ 25309   $ 12358643586  $  9143777605     $       75946  $    28344448  $    44582790  $     7998323  $       0      $       0      $      97      $           0  $              $1.351591      $75946.000000      $1.808619 $2.844764 $0.510362 $     0.64  $     5.57  
49932 $  4010   $  3478171229  $  9146594750     $    47376443  $   276462940  $   224389316  $    40287935  $      45      $       0      $      97      $           0  $              $0.380270      $47376444.000000      $17.658312 $14.332252 $2.573281 $     1.23  $     5.57  
49907 $ 26311   $ 12362012148  $  9143586635     $       76239  $    28349986  $    44616818  $     8003142  $       0      $       0      $      97      $           0  $              $1.351987      $76239.000000      $1.810778 $2.849777 $0.511179 $     0.64  $     5.57  
49932 $  5012   $  3568164753  $  9146912713     $    41672586  $   249506385  $   201989919  $    39932569  $      45      $       0      $      97      $           0  $              $0.390095      $41672584.000000      $15.936536 $12.901552 $2.550583 $     1.24  $     5.06  
49907 $ 27313   $ 12362474479  $  9144654753     $       76445  $    28360707  $    44600751  $     8001783  $       0      $       0      $      97      $           0  $              $1.351880      $76445.000000      $1.811462 $2.848751 $0.511092 $     0.64  $     5.57  
49932 $  6014   $  3408342608  $  9147135591     $    46506180  $   268505746  $   219143391  $    38405814  $      45      $       0      $      97      $           0  $              $0.372613      $46506180.000000      $17.150068 $13.997183 $2.453066 $     1.23  $     5.71  
49907 $ 28315   $ 12359062553  $  9144725602     $       77012  $    28354122  $    44590313  $     7998677  $       0      $       0      $      97      $           0  $              $1.351496      $77012.000000      $1.811042 $2.848084 $0.510894 $     0.64  $     5.57  
49932 $  7016   $  3499923445  $  9146565445     $    45987098  $   269861921  $   218907936  $    40200537  $      45      $       0      $      97      $           0  $              $0.382649      $45987096.000000      $17.236689 $13.982143 $2.567699 $     1.23  $     5.45  
49907 $ 29317   $ 12355536552  $  9143409055     $       76495  $    28325488  $    44578614  $     7997888  $       0      $       0      $      97      $           0  $              $1.351305      $76495.000000      $1.809213 $2.847337 $0.510843 $     0.64  $     5.57  
49932 $  8019   $  3510025771  $  9146679467     $    42163986  $   249467555  $   202775443  $    38874947  $      45      $       0      $      97      $           0  $              $0.383749      $42163984.000000      $15.918169 $12.938811 $2.480555 $     1.23  $     5.22  
49907 $ 30319   $ 12359330843  $  9143651103     $       77530  $    28325872  $    44590633  $     7998936  $       0      $       0      $      97      $           0  $              $1.351684      $77530.000000      $1.809237 $2.848104 $0.510910 $     0.64  $     5.57  
49932 $  9022   $  3435066110  $  9145723574     $    47509551  $   275081976  $   223942242  $    39359052  $      45      $       0      $      97      $           0  $              $0.375593      $47509552.000000      $17.552589 $14.289435 $2.511445 $     1.23  $     5.69  
49907 $ 31322   $ 12353814316  $  9143423980     $       77366  $    28312453  $    44574714  $     7996036  $       0      $       0      $      97      $           0  $              $1.351115      $77366.000000      $1.806577 $2.844249 $0.510216 $     0.64  $     5.57  
49932 $ 10024   $  3521559095  $  9146388928     $    44690914  $   263720406  $   213802357  $    40135170  $      45      $       0      $      97      $           0  $              $0.385022      $44690912.000000      $16.844418 $13.656038 $2.563524 $     1.23  $     5.33  
49907 $ 32325   $ 12365744385  $  9143597481     $       75683  $    28372646  $    44630637  $     8005595  $       0      $       0      $      97      $           0  $              $1.352394      $75683.000000      $1.810418 $2.847817 $0.510826 $     0.64  $     5.57  
49907 $ 33033   $  8813027915  $  6509615197     $       54306  $    20212698  $    31786745  $     5701976  $       0      $       0      $      97      $           0  $              $1.353848      $54306.000000      $1.827137 $2.873378 $0.515433 $     0.64  $     5.57  
49932 $ 10732   $  2173723891  $  5799461059     $    29946840  $   172727988  $   140721261  $    24608146  $      31      $       0      $      97      $           0  $              $0.374815      $29946840.000000      $15.613829 $12.720566 $2.224465 $     1.23  $     5.72  
49907 $ 33398   $  4769303022  $  3480115643     $       29950  $    10971710  $    17195802  $     3079378  $       0      $       0      $      97      $           0  $              $1.370444      $29950.000000      $1.923807 $3.015154 $0.539946 $     0.64  $     5.58  
49907 $ 33400   $     1482394  $     1086754     $           0  $        1187  $        1008  $         993  $       0      $       0      $      97      $           0  $              $1.364057      $0.000000      $0.037984 $0.032256 $0.031776 $     1.18  $     1.02  
49907 $ 34403   $ 12236184438  $  9066912940     $       77186  $    28013534  $    44079746  $     7914652  $      44      $       0      $      97      $           0  $              $1.349542      $77186.000000      $1.787504 $2.812666 $0.505023 $     0.64  $     5.57  
49937 $  1003   $  3380573517  $  8871499222     $    41704008  $   237614435  $   196913249  $    34600792  $       0      $       0      $      97      $           0  $              $0.381060      $41704008.000000      $15.161839 $12.564754 $2.207827 $     1.21  $     5.69  
49937 $  2006   $  3510087096  $  9080680464     $    42651091  $   253885326  $   209804867  $    39886595  $      45      $       0      $      97      $           0  $              $0.386544      $42651092.000000      $16.200060 $13.387349 $2.545107 $     1.21  $     5.26  
49907 $ 35406   $ 12098620979  $  8996039916     $       75252  $    27586551  $    43353904  $     7815727  $       0      $       0      $      97      $           0  $              $1.344883      $75252.000000      $1.760259 $2.766351 $0.498710 $     0.64  $     5.55  
49937 $  3008   $  3406680240  $  9149118371     $    45534828  $   263716938  $   219608450  $    38218934  $      45      $       0      $      97      $           0  $              $0.372351      $45534828.000000      $16.844196 $14.026887 $2.441130 $     1.20  $     5.75  
49907 $ 36409   $ 12365384891  $  9145977094     $       75512  $    28357313  $    44617854  $     8003910  $       0      $       0      $      97      $           0  $              $1.352003      $75512.000000      $1.809440 $2.847002 $0.510718 $     0.64  $     5.57  
49937 $  4010   $  3482488372  $  9146142518     $    45833517  $   268949716  $   222619138  $    40033849  $      45      $       0      $      97      $           0  $              $0.380760      $45833516.000000      $17.178425 $14.219187 $2.557052 $     1.21  $     5.56  
49907 $ 37411   $ 12351276018  $  9143168306     $       76425  $    28320872  $    44567378  $     7996066  $       0      $       0      $      97      $           0  $              $1.350875      $76425.000000      $1.808918 $2.846619 $0.510727 $     0.64  $     5.57  
49937 $  5012   $  3457687425  $  9147642317     $    42332572  $   248610543  $   206738440  $    38037498  $      45      $       0      $      97      $           0  $              $0.377987      $42332572.000000      $15.879316 $13.204850 $2.429541 $     1.20  $     5.44  
49907 $ 38413   $ 12369165064  $  9144132024     $       75747  $    28346107  $    44640977  $     8006971  $       0      $       0      $      97      $           0  $              $1.352689      $75747.000000      $1.810530 $2.851320 $0.511423 $     0.63  $     5.58  
49937 $  6014   $  3458660388  $  9149242676     $    47532940  $   276906595  $   229406617  $    40137969  $      45      $       0      $      97      $           0  $              $0.378027      $47532940.000000      $17.686649 $14.652719 $2.563703 $     1.21  $     5.72  
49907 $ 39415   $ 12362654883  $  9146256697     $       76939  $    28345291  $    44609970  $     8003002  $       0      $       0      $      97      $           0  $              $1.351663      $76939.000000      $1.810478 $2.849339 $0.511170 $     0.64  $     5.57  
49937 $  7016   $  3532896785  $  9149028041     $    42866061  $   254947010  $   210703598  $    39893616  $      45      $       0      $      97      $           0  $              $0.386150      $42866060.000000      $16.284040 $13.458115 $2.548095 $     1.21  $     5.28  
