PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
47856 $  1004   $ 17174984297  $  8871886632     $     2904921  $   372735200  $   341239947  $    53150580  $      52      $       0      $      97      $           0  $              $1.935889      $2904921.000000      $23.760014 $21.752346 $3.388085 $     1.09  $     6.42  
47854 $  1004   $  3214505588  $  8828365036     $    12591616  $   353381529  $   349366982  $    11208201  $       0      $       0      $      97      $           0  $              $0.364111      $12591616.000000      $22.526314 $22.270405 $0.714467 $     1.01  $    31.17  
47856 $  2007   $ 17897831822  $  9110922804     $     3018695  $   389410581  $   356461682  $    54869127  $      54      $       0      $      97      $           0  $              $1.964437      $3018695.000000      $24.847734 $22.745312 $3.501121 $     1.09  $     6.50  
47854 $  2007   $  3277962193  $  9071971017     $    13213140  $   371037423  $   366811171  $    11221381  $       0      $       0      $      97      $           0  $              $0.361329      $13213140.000000      $23.675367 $23.405697 $0.716020 $     1.01  $    32.69  
47856 $  3009   $ 17896113434  $  9109731098     $     3017812  $   389390779  $   356426554  $    54850592  $      54      $       0      $      97      $           0  $              $1.964505      $3017812.000000      $24.871267 $22.765768 $3.503431 $     1.09  $     6.50  
47854 $  3010   $  3277473176  $  9071919300     $    13226869  $   370970861  $   366762061  $    11227713  $       0      $       0      $      97      $           0  $              $0.361277      $13226869.000000      $23.671122 $23.402563 $0.716424 $     1.01  $    32.67  
47856 $  4011   $ 17841489399  $  9113736999     $     2988778  $   388213562  $   355219425  $    56654142  $      53      $       0      $      97      $           0  $              $1.957648      $2988778.000000      $24.796076 $22.688665 $3.618628 $     1.09  $     6.27  
47854 $  4012   $  3060533985  $  9108926845     $     9817115  $   388046332  $   385170673  $    11768951  $       0      $       0      $      97      $           0  $              $0.335993      $9817115.000000      $24.785395 $24.601721 $0.751709 $     1.01  $    32.73  
47856 $  5013   $ 17923729099  $  9123639465     $     3002615  $   390081971  $   356937760  $    56621730  $      53      $       0      $      97      $           0  $              $1.964537      $3002615.000000      $24.915417 $22.798420 $3.616557 $     1.09  $     6.30  
47854 $  5014   $  3066361225  $  9119098112     $     9825118  $   388749843  $   385905775  $    11774805  $       0      $       0      $      97      $           0  $              $0.336257      $9825118.000000      $24.830330 $24.648672 $0.752083 $     1.01  $    32.77  
47856 $  6015   $ 17920028817  $  9123773513     $     3004417  $   390008900  $   356878584  $    56521180  $      53      $       0      $      97      $           0  $              $1.964103      $3004417.000000      $24.910748 $22.794641 $3.610135 $     1.09  $     6.31  
47854 $  6016   $  3124729755  $  9118633801     $    10451084  $   384049941  $   380903535  $    12117258  $       0      $       0      $      97      $           0  $              $0.342675      $10451084.000000      $24.530136 $24.329166 $0.773957 $     1.01  $    31.43  
47856 $  7017   $ 17941015972  $  9124532544     $     3026439  $   390310494  $   357313121  $    54900592  $      54      $       0      $      97      $           0  $              $1.966240      $3026439.000000      $24.930012 $22.822395 $3.506625 $     1.09  $     6.51  
47854 $  7018   $  3294196226  $  9118957367     $    13363787  $   372626785  $   368644555  $    11315037  $       0      $       0      $      97      $           0  $              $0.361247      $13363787.000000      $23.800512 $23.546158 $0.722717 $     1.01  $    32.58  
47856 $  8019   $ 17880200778  $  9123991397     $     3009794  $   388928397  $   356030045  $    55026483  $      54      $       0      $      97      $           0  $              $1.959691      $3009794.000000      $24.841734 $22.740442 $3.514666 $     1.09  $     6.47  
47854 $  8020   $  3293506408  $  9118700130     $    13313294  $   372534720  $   368558877  $    11316505  $       0      $       0      $      97      $           0  $              $0.361182      $13313294.000000      $23.794632 $23.540688 $0.722811 $     1.01  $    32.57  
47856 $  9022   $ 17942762590  $  9125114172     $     3019127  $   390420706  $   357361043  $    55373426  $      54      $       0      $      97      $           0  $              $1.966306      $3019127.000000      $24.912188 $22.802700 $3.533299 $     1.09  $     6.45  
47854 $  9023   $  3237912836  $  9119705511     $    12425606  $   376824323  $   373138736  $    11436203  $       0      $       0      $      97      $           0  $              $0.355046      $12425606.000000      $24.044622 $23.809452 $0.729728 $     1.01  $    32.63  
47856 $ 10025   $ 17923321502  $  9124823110     $     2998963  $   390060480  $   356942643  $    56621861  $      53      $       0      $      97      $           0  $              $1.964238      $2998963.000000      $24.889204 $22.776003 $3.612960 $     1.09  $     6.30  
47854 $ 10026   $  3065588115  $  9119680859     $     9819192  $   388674940  $   385806609  $    11771325  $       0      $       0      $      97      $           0  $              $0.336151      $9819192.000000      $24.800795 $24.617771 $0.751111 $     1.01  $    32.78  
47856 $ 11027   $ 17856269928  $  9121470967     $     2990339  $   388526645  $   355515525  $    56694107  $      53      $       0      $      97      $           0  $              $1.957609      $2990339.000000      $24.816074 $22.707579 $3.621181 $     1.09  $     6.27  
47854 $ 11028   $  3063715890  $  9116360462     $     9824637  $   388408084  $   385569970  $    11770201  $       0      $       0      $      97      $           0  $              $0.336068      $9824637.000000      $24.808500 $24.627224 $0.751789 $     1.01  $    32.76  
47856 $ 11718   $ 12633054422  $  6382690833     $     2130126  $   274715541  $   251649918  $    37002826  $      35      $       0      $      97      $           0  $              $1.979268      $2130126.000000      $25.443987 $23.307663 $3.427179 $     1.09  $     6.80  
47854 $ 11719   $  1700167723  $  5048394070     $     5501602  $   214688023  $   213114097  $     6502857  $       0      $       0      $      97      $           0  $              $0.336774      $5501602.000000      $19.884274 $19.738499 $0.602291 $     1.01  $    32.77  
47856 $ 12162   $  8729074134  $  4372979482     $     1511802  $   188830514  $   173804802  $    18168069  $      17      $       0      $      97      $           0  $              $1.996139      $1511802.000000      $27.218813 $25.052944 $2.618821 $     1.09  $     9.57  
47856 $ 12164   $    10319075  $     5084880     $        1691  $      223043  $      204988  $       20662  $       0      $       0      $      97      $           0  $              $2.029365      $1691.000000      $7.137376 $6.559616 $0.661184 $     1.09  $     9.92  
47856 $ 13166   $ 17951715132  $  9118155317     $     3042646  $   390377897  $   357583837  $    53008547  $      53      $       0      $      97      $           0  $              $1.968788      $3042646.000000      $24.934317 $22.839685 $3.385776 $     1.09  $     6.75  
47874 $  1003   $  3259980974  $  8885853728     $    11097856  $   362919032  $   353578612  $    12480387  $       0      $       0      $      97      $           0  $              $0.366873      $11097856.000000      $23.157347 $22.561348 $0.796356 $     1.03  $    28.33  
47856 $ 14168   $ 17895567879  $  9117412530     $     3026086  $   389019615  $   356373348  $    52855005  $      54      $       0      $      97      $           0  $              $1.962790      $3026086.000000      $24.847561 $22.762369 $3.375968 $     1.09  $     6.74  
47874 $  2005   $  3303993301  $  9086693757     $    11592439  $   378554554  $   368782640  $    12488912  $       0      $       0      $      97      $           0  $              $0.363608      $11592439.000000      $24.179134 $23.554979 $0.797695 $     1.03  $    29.53  
