PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
49993 $  1003   $  5788722865  $  7881164932     $      172701  $   159790017  $   161731887  $   151432647  $      37      $       0      $      97      $           0  $              $0.734501      $172701.000000      $10.195973 $10.319881 $9.662701 $     0.99  $     1.07  
49991 $  1003   $  4281518742  $  2123200160     $      559578  $      589002  $      744860  $      448070  $       0      $       0      $      97      $           0  $              $2.016540      $559578.000000      $0.037583 $0.047528 $0.028591 $     0.79  $     1.66  
49993 $  2005   $  6563532294  $  9130403120     $      183610  $   208155311  $   208216220  $   203809467  $      39      $       0      $      97      $           0  $              $0.718866      $183610.000000      $13.295349 $13.299240 $13.017771 $     1.00  $     1.02  
49991 $  2006   $  4238916809  $  2127477888     $      555281  $      593136  $      771841  $      481586  $       0      $       0      $      97      $           0  $              $1.992461      $555281.000000      $0.037847 $0.049250 $0.030729 $     0.77  $     1.60  
49993 $  3008   $  6700882160  $  9308649992     $      193803  $   208360044  $   208418896  $   204035873  $      39      $       0      $      97      $           0  $              $0.719855      $193803.000000      $13.295157 $13.298913 $13.019238 $     1.00  $     1.02  
49991 $  3009   $  4314312170  $  2167422141     $      548711  $      603997  $      784623  $      488227  $       0      $       0      $      97      $           0  $              $1.990527      $548711.000000      $0.038540 $0.050066 $0.031153 $     0.77  $     1.61  
49993 $  4011   $  6587007246  $  9131662646     $      172896  $   205603107  $   205663193  $   201252834  $      39      $       0      $      97      $           0  $              $0.721337      $172896.000000      $13.119241 $13.123075 $12.841657 $     1.00  $     1.02  
49991 $  4012   $  4247658342  $  2130200310     $      553638  $      593726  $      768953  $      480979  $       0      $       0      $      97      $           0  $              $1.994018      $553638.000000      $0.037885 $0.049066 $0.030691 $     0.77  $     1.60  
49993 $  5014   $  6592581571  $  9129568906     $      183140  $   207483098  $   207543367  $   203140451  $      39      $       0      $      97      $           0  $              $0.722113      $183140.000000      $13.239201 $13.243046 $12.962102 $     1.00  $     1.02  
49991 $  5015   $  4240206350  $  2128880444     $      548094  $      593193  $      772648  $      482058  $       0      $       0      $      97      $           0  $              $1.991754      $548094.000000      $0.037851 $0.049302 $0.030759 $     0.77  $     1.60  
