PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
48581 $  1003   $  3617641821  $  7801452300     $      104342  $    39957848  $    36359867  $    30373956  $      43      $       0      $      97      $           0  $              $0.463714      $104342.000000      $2.549653 $2.320071 $1.938119 $     1.10  $     1.20  
48579 $  1003   $  2902925477  $  8705270112     $     9865111  $   362720071  $   360083391  $    10270343  $       0      $       0      $      97      $           0  $              $0.333468      $9865111.000000      $23.144650 $22.976408 $0.655336 $     1.01  $    35.06  
48581 $  2005   $  4242514573  $  9059530654     $       33375  $    47219698  $    42956383  $    35727522  $      45      $       0      $      97      $           0  $              $0.468293      $33375.000000      $3.016028 $2.743721 $2.281997 $     1.10  $     1.20  
48579 $  2005   $  2997527937  $  9113799663     $    10482768  $   379871652  $   377181016  $    10797521  $       0      $       0      $      97      $           0  $              $0.328900      $10482768.000000      $24.263260 $24.091402 $0.689662 $     1.01  $    34.93  
48581 $  3007   $  4244359475  $  9064734107     $       33252  $    47223489  $    42960162  $    35737821  $      45      $       0      $      97      $           0  $              $0.468228      $33252.000000      $3.016271 $2.743962 $2.282655 $     1.10  $     1.20  
48579 $  3007   $  2998179686  $  9119816069     $    10492852  $   379947375  $   377258608  $    10803489  $       0      $       0      $      97      $           0  $              $0.328754      $10492852.000000      $24.268095 $24.096359 $0.690043 $     1.01  $    34.92  
48581 $  4009   $  4192443317  $  9069985619     $       30951  $    45457082  $    41530427  $    34843427  $      45      $       0      $      97      $           0  $              $0.462233      $30951.000000      $2.903446 $2.652642 $2.225528 $     1.09  $     1.19  
48579 $  4009   $  2996478226  $  9120944142     $    10462268  $   379799068  $   377039203  $    10827828  $       0      $       0      $      97      $           0  $              $0.328527      $10462268.000000      $24.258623 $24.082344 $0.691598 $     1.01  $    34.82  
48581 $  5011   $  4243359711  $  9063155971     $       32417  $    47225881  $    42954564  $    35732713  $      45      $       0      $      97      $           0  $              $0.468199      $32417.000000      $3.016423 $2.743605 $2.282329 $     1.10  $     1.20  
48579 $  5011   $  2994233768  $  9119951411     $    10456440  $   379510546  $   376761026  $    10836606  $       0      $       0      $      97      $           0  $              $0.328317      $10456440.000000      $24.240196 $24.064577 $0.692158 $     1.01  $    34.77  
48581 $  6013   $  4243557466  $  9063393927     $       32038  $    47214135  $    42925969  $    35731445  $      45      $       0      $      97      $           0  $              $0.468208      $32038.000000      $3.015673 $2.741778 $2.282248 $     1.10  $     1.20  
48579 $  6013   $  2993211336  $  9119584285     $    10414767  $   379351654  $   376621990  $    10841861  $       0      $       0      $      97      $           0  $              $0.328218      $10414767.000000      $24.230045 $24.055696 $0.692494 $     1.01  $    34.74  
48581 $  7015   $  4194639106  $  9072419236     $       31643  $    45442488  $    41520620  $    34846421  $      45      $       0      $      97      $           0  $              $0.462351      $31643.000000      $2.902514 $2.652016 $2.225719 $     1.09  $     1.19  
48579 $  7015   $  2992495758  $  9119824548     $    10216771  $   379251641  $   376518154  $    10779643  $       0      $       0      $      97      $           0  $              $0.328131      $10216771.000000      $24.223658 $24.049063 $0.688520 $     1.01  $    34.93  
48579 $  7912   $  2724915920  $  8240771572     $     9320227  $   345112296  $   342809588  $     8580657  $       0      $       0      $      97      $           0  $              $0.330663      $9320227.000000      $24.623396 $24.459103 $0.612221 $     1.01  $    39.95  
48581 $  7912   $  3370722028  $  7133871482     $      117167  $    38057732  $    34502245  $    28517460  $      39      $       0      $      97      $           0  $              $0.472495      $117167.000000      $2.715379 $2.461699 $2.034691 $     1.10  $     1.21  
