PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52060 $  1003   $  3629760257  $  7853126488     $      101514  $    40161471  $    36643022  $    30422842  $      39      $       0      $      97      $           0  $              $0.462206      $101514.000000      $2.562646 $2.338139 $1.941238 $     1.10  $     1.20  
52058 $  1003   $  6724662569  $  9082634714     $      111788  $    16501330  $    18383955  $     2609204  $       0      $       0      $      97      $           0  $              $0.740387      $111788.000000      $1.052926 $1.173054 $0.166490 $     0.90  $     7.05  
52060 $  2006   $  4237580560  $  9071518989     $       32111  $    47303855  $    43114943  $    35649372  $      41      $       0      $      97      $           0  $              $0.467130      $32111.000000      $3.018392 $2.751103 $2.274736 $     1.10  $     1.21  
52058 $  2006   $  6783173882  $  9146173185     $      107425  $    15489911  $    16539993  $     2932907  $       0      $       0      $      97      $           0  $              $0.741641      $107425.000000      $0.988389 $1.055393 $0.187145 $     0.94  $     5.64  
52060 $  3009   $  4238395268  $  9071879726     $       32652  $    47338662  $    43163214  $    35678238  $      41      $       0      $      97      $           0  $              $0.467201      $32652.000000      $3.020613 $2.754183 $2.276578 $     1.10  $     1.21  
52058 $  3009   $  6780397640  $  9146926933     $      111364  $    16490408  $    18268772  $     2885487  $       0      $       0      $      97      $           0  $              $0.741276      $111364.000000      $1.052229 $1.165704 $0.184119 $     0.90  $     6.33  
52060 $  4011   $  4188504467  $  9077454759     $       31814  $    45548048  $    41710879  $    34785042  $      41      $       0      $      97      $           0  $              $0.461418      $31814.000000      $2.909256 $2.664168 $2.221799 $     1.09  $     1.20  
52058 $  4012   $  6786678896  $  9146761724     $      107628  $    15394010  $    16341730  $     2880322  $       0      $       0      $      97      $           0  $              $0.741976      $107628.000000      $0.982270 $1.042742 $0.183789 $     0.94  $     5.67  
52060 $  5013   $  4238432253  $  9071722715     $       32184  $    47338202  $    43163812  $    35667878  $      41      $       0      $      97      $           0  $              $0.467214      $32184.000000      $3.023598 $2.756970 $2.278188 $     1.10  $     1.21  
52058 $  5014   $  6785922634  $  9146437528     $      108368  $    15013347  $    15701293  $     2923207  $       0      $       0      $      97      $           0  $              $0.741920      $108368.000000      $0.958936 $1.002877 $0.186712 $     0.96  $     5.37  
52060 $  6015   $  4238274071  $  9070909095     $       32304  $    47339828  $    43148539  $    35676781  $      41      $       0      $      97      $           0  $              $0.467238      $32304.000000      $3.023702 $2.755995 $2.278756 $     1.10  $     1.21  
52058 $  6016   $  6785437997  $  9145778284     $      111623  $    15964986  $    17318579  $     2872171  $       0      $       0      $      97      $           0  $              $0.741920      $111623.000000      $1.019720 $1.106177 $0.183452 $     0.92  $     6.03  
52060 $  7017   $  4187978267  $  9077383423     $       31508  $    45526693  $    41679579  $    34770830  $      41      $       0      $      97      $           0  $              $0.461364      $31508.000000      $2.907892 $2.662169 $2.220891 $     1.09  $     1.20  
52058 $  7018   $  6791856460  $  9146140552     $      107821  $    15089724  $    15774432  $     2880293  $       0      $       0      $      97      $           0  $              $0.742593      $107821.000000      $0.963815 $1.007549 $0.183971 $     0.96  $     5.48  
52058 $  7907   $  6075888818  $  8177632918     $       96407  $    13247958  $    13686500  $     2375249  $       0      $       0      $      97      $           0  $              $0.742989      $96407.000000      $0.953734 $0.985305 $0.170997 $     0.97  $     5.76  
52060 $  7906   $  3427694938  $  7295723873     $      103949  $    38588454  $    35098992  $    28888043  $      36      $       0      $      97      $           0  $              $0.469822      $103949.000000      $2.778022 $2.526812 $2.079679 $     1.10  $     1.22  
52058 $  8101   $  1362002057  $  1829666799     $       23384  $     2935168  $     2997155  $        1521  $       0      $       0      $      97      $           0  $              $0.744399      $23384.000000      $0.968303 $0.988752 $0.000502 $     0.98  $  1970.52  
52058 $  8104   $     1503655  $     1418040     $         102  $        2267  $        2079  $           0  $       0      $       0      $      97      $           0  $              $1.060376      $102.000000      $0.048363 $0.044352 $0.000000 $     1.09  $      inf  
52058 $  9107   $  5539169877  $  7463768679     $      204397  $    12055922  $    12342383  $     2720559  $      38      $       0      $      97      $           0  $              $0.742141      $204397.000000      $0.769271 $0.787550 $0.173595 $     0.98  $     4.54  
52083 $  1003   $  3658575752  $  7919856244     $       31891  $    40249713  $    36660996  $    30647369  $       0      $       0      $      97      $           0  $              $0.461950      $31891.000000      $2.568277 $2.339286 $1.955565 $     1.10  $     1.20  
52083 $  2006   $  4203706271  $  8979552079     $       32334  $    46832697  $    42537399  $    35354646  $      41      $       0      $      97      $           0  $              $0.468142      $32334.000000      $2.988328 $2.714251 $2.255930 $     1.10  $     1.20  
52058 $ 10110   $  6533653779  $  8802438795     $      101908  $    14590093  $    15341316  $     2884799  $       0      $       0      $      97      $           0  $              $0.742255      $101908.000000      $0.930973 $0.978908 $0.184075 $     0.95  $     5.32  
52083 $  2605   $  2523700248  $  5417650136     $       20110  $    27881956  $    25393662  $    21169280  $      25      $       0      $      97      $           0  $              $0.465829      $20110.000000      $2.979040 $2.713179 $2.261826 $     1.10  $     1.20  
52058 $ 10709   $  3981985612  $  5441822116     $       69281  $     9084298  $     9840963  $     1622027  $       0      $       0      $      97      $           0  $              $0.731738      $69281.000000      $0.970609 $1.051455 $0.173305 $     0.92  $     6.07  
