PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55712 $  1004   $  3614110990  $  7843539787     $      110072  $    40090564  $    36583206  $    30252823  $      45      $       0      $      97      $           0  $              $0.460775      $110072.000000      $2.555574 $2.331997 $1.928467 $     1.10  $     1.21  
55710 $  1004   $ 21553948835  $  8848152510     $     3730394  $   337248423  $   337327614  $     9676015  $       0      $       0      $      97      $           0  $              $2.435983      $3730394.000000      $21.497908 $21.502956 $0.616798 $     1.00  $    34.86  
55712 $  2006   $  4210081323  $  9038786373     $       35603  $    47167424  $    42994206  $    35400039  $      48      $       0      $      97      $           0  $              $0.465779      $35603.000000      $3.012690 $2.746137 $2.261081 $     1.10  $     1.21  
55710 $  2007   $ 22173563292  $  9101034233     $     3840545  $   346618519  $   346695944  $     9910157  $       0      $       0      $      97      $           0  $              $2.436378      $3840545.000000      $22.117233 $22.122173 $0.632353 $     1.00  $    34.98  
55712 $  3008   $  4162725236  $  9045428693     $       35505  $    45392341  $    41560160  $    34527381  $      48      $       0      $      97      $           0  $              $0.460202      $35505.000000      $2.899311 $2.654541 $2.205342 $     1.09  $     1.20  
55710 $  3009   $ 22281268663  $  9109015983     $     3865892  $   348527354  $   348598034  $     9524192  $       0      $       0      $      97      $           0  $              $2.446068      $3865892.000000      $22.261229 $22.265743 $0.608332 $     1.00  $    36.60  
55712 $  4010   $  4212607535  $  9040272402     $       35990  $    47197368  $    43011082  $    35407554  $      48      $       0      $      97      $           0  $              $0.465982      $35990.000000      $3.014602 $2.747215 $2.261560 $     1.10  $     1.21  
55710 $  4011   $ 22139329285  $  9104073728     $     3834702  $   346088468  $   346177476  $    10290043  $       0      $       0      $      97      $           0  $              $2.431805      $3834702.000000      $22.105452 $22.111135 $0.657248 $     1.00  $    33.64  
55712 $  5012   $  4214860935  $  9039798963     $       36352  $    47201720  $    43019686  $    35418651  $      48      $       0      $      97      $           0  $              $0.466256      $36352.000000      $3.014880 $2.747765 $2.262269 $     1.10  $     1.21  
55710 $  5013   $ 22251239678  $  9110254258     $     3860053  $   348120670  $   348181441  $     9931963  $       0      $       0      $      97      $           0  $              $2.442439      $3860053.000000      $22.235252 $22.239134 $0.634377 $     1.00  $    35.06  
55712 $  6014   $  4164809492  $  9044904112     $       35390  $    45400698  $    41563330  $    34545855  $      48      $       0      $      97      $           0  $              $0.460459      $35390.000000      $2.899845 $2.654743 $2.206522 $     1.09  $     1.20  
55710 $  6015   $ 22189259720  $  9102367167     $     3842550  $   346969498  $   347040300  $    10113403  $       0      $       0      $      97      $           0  $              $2.437746      $3842550.000000      $22.161724 $22.166246 $0.645966 $     1.00  $    34.31  
55712 $  7016   $  4216814683  $  9043974481     $       35931  $    47194988  $    43010573  $    35428300  $      48      $       0      $      97      $           0  $              $0.466257      $35931.000000      $3.014450 $2.747182 $2.262885 $     1.10  $     1.21  
55710 $  7017   $ 22253965926  $  9114311246     $     3855110  $   348183111  $   348237950  $    10127878  $       0      $       0      $      97      $           0  $              $2.441651      $3855110.000000      $22.239241 $22.242743 $0.646890 $     1.00  $    34.38  
55710 $  7953   $ 20928527871  $  8571890481     $     3610876  $   327204451  $   327276845  $     9003779  $       0      $       0      $      97      $           0  $              $2.441530      $3610876.000000      $22.372953 $22.377903 $0.615643 $     1.00  $    36.35  
55712 $  7953   $  3576803973  $  7694710670     $      110670  $    39650452  $    36147496  $    29835960  $      44      $       0      $      97      $           0  $              $0.464839      $110670.000000      $2.708249 $2.468986 $2.037889 $     1.10  $     1.21  
55710 $  8100   $  3553854610  $  1386078055     $      604816  $    55666271  $    55666812  $      134133  $       0      $       0      $      97      $           0  $              $2.563964      $604816.000000      $24.235657 $24.235891 $0.058398 $     1.00  $   415.01  
55710 $  8103   $     3877450  $     1541460     $         517  $       60588  $       60592  $         523  $       0      $       0      $      97      $           0  $              $2.515440      $517.000000      $1.292544 $1.292629 $0.011157 $     1.00  $   115.85  
55710 $  9106   $ 21510242191  $  8871841700     $     3746420  $   335653545  $   335689122  $     9248220  $      46      $       0      $      97      $           0  $              $2.424552      $3746420.000000      $21.417574 $21.419844 $0.590116 $     1.00  $    36.30  
55730 $  1003   $  3637588791  $  7883528994     $       73327  $    40125774  $    36524585  $    30451420  $       0      $       0      $      97      $           0  $              $0.461416      $73327.000000      $2.560369 $2.330582 $1.943062 $     1.10  $     1.20  
