PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
52119 $  1003   $ 21430130826  $  8852460923     $     7010350  $   347396816  $   424514272  $     3858292  $      46      $       0      $      97      $           0  $              $2.420811      $7010350.000000      $22.166895 $27.087650 $0.246192 $     0.82  $   110.03  
52117 $  1003   $  6757859062  $  9103144286     $      116268  $    15963576  $    17343357  $     1886764  $       0      $       0      $      97      $           0  $              $0.742365      $116268.000000      $1.018613 $1.106655 $0.120392 $     0.92  $     9.19  
52119 $  2005   $ 22064219819  $  9137726435     $     7144323  $   356835776  $   434152812  $     3428754  $      47      $       0      $      97      $           0  $              $2.414629      $7144323.000000      $22.791906 $27.730318 $0.219002 $     0.82  $   126.62  
52117 $  2005   $  6827735849  $  9174933851     $      116405  $    15561363  $    16494144  $     1909602  $       0      $       0      $      97      $           0  $              $0.744173      $116405.000000      $0.993939 $1.053518 $0.121971 $     0.94  $     8.64  
52119 $  3007   $ 22203660180  $  9144438367     $     7336851  $   359999816  $   442848494  $     3370443  $      47      $       0      $      97      $           0  $              $2.428105      $7336851.000000      $22.993999 $28.285730 $0.215278 $     0.81  $   131.39  
52117 $  3007   $  6830419299  $  9176667917     $      116482  $    14743951  $    15106732  $     1847984  $       0      $       0      $      97      $           0  $              $0.744325      $116482.000000      $0.941729 $0.964901 $0.118035 $     0.98  $     8.17  
52119 $  4009   $ 22195983215  $  9143429440     $     7196221  $   359530225  $   438043082  $     3326463  $      47      $       0      $      97      $           0  $              $2.427534      $7196221.000000      $22.964006 $27.978800 $0.212469 $     0.82  $   131.68  
52117 $  4009   $  6818105576  $  9173137331     $      116782  $    15884174  $    17081569  $     1848799  $       0      $       0      $      97      $           0  $              $0.743269      $116782.000000      $1.014558 $1.091038 $0.118087 $     0.93  $     9.24  
52119 $  5011   $ 22199217476  $  9144076552     $     7229725  $   359438497  $   437799306  $     3338667  $      47      $       0      $      97      $           0  $              $2.427716      $7229725.000000      $22.958147 $27.963228 $0.213248 $     0.82  $   131.13  
52117 $  5011   $  6811450467  $  9173396542     $      115406  $    16450186  $    18100240  $     1853993  $       0      $       0      $      97      $           0  $              $0.742522      $115406.000000      $1.050710 $1.156103 $0.118419 $     0.91  $     9.76  
52119 $  6013   $ 22172372229  $  9144006121     $     7212624  $   358957747  $   438014780  $     3287564  $      47      $       0      $      97      $           0  $              $2.424799      $7212624.000000      $22.927443 $27.976992 $0.209984 $     0.82  $   133.23  
52117 $  6013   $  6822538201  $  9174696799     $      115990  $    15746465  $    16871747  $     1868348  $       0      $       0      $      97      $           0  $              $0.743625      $115990.000000      $1.005762 $1.077637 $0.119336 $     0.93  $     9.03  
52119 $  7016   $ 22189286190  $  9144180704     $     7201094  $   359233103  $   438209655  $     3329682  $      47      $       0      $      97      $           0  $              $2.426602      $7201094.000000      $22.922152 $27.961535 $0.212462 $     0.82  $   131.61  
52117 $  7016   $  6835833604  $  9176419643     $      116466  $    15147002  $    15770344  $     1885874  $       0      $       0      $      97      $           0  $              $0.744935      $116466.000000      $0.966509 $1.006283 $0.120335 $     0.96  $     8.36  
52119 $  8018   $ 22197916328  $  9143821762     $     7174761  $   359344592  $   438159701  $     3363695  $      47      $       0      $      97      $           0  $              $2.427641      $7174761.000000      $22.952148 $27.986250 $0.214847 $     0.82  $   130.26  
52117 $  8019   $  6833468851  $  9175943183     $      117133  $    15231020  $    15958429  $     1892056  $       0      $       0      $      97      $           0  $              $0.744716      $117133.000000      $0.971870 $1.018285 $0.120729 $     0.95  $     8.43  
52119 $  9020   $ 22219439128  $  9144502353     $     7180322  $   359723861  $   438108529  $     3382475  $      47      $       0      $      97      $           0  $              $2.429814      $7180322.000000      $22.976376 $27.982981 $0.216046 $     0.82  $   129.52  
52117 $  9021   $  6817226897  $  9176325547     $      116346  $    16202728  $    17667387  $     1885808  $       0      $       0      $      97      $           0  $              $0.742915      $116346.000000      $1.034905 $1.128456 $0.120451 $     0.92  $     9.37  
52119 $ 10022   $ 22210753583  $  9144493268     $     7164491  $   359569382  $   437271295  $     3612092  $      47      $       0      $      97      $           0  $              $2.428867      $7164491.000000      $22.966507 $27.929504 $0.230712 $     0.82  $   121.06  
52117 $ 10023   $  6812853326  $  9175343716     $      116928  $    16427091  $    18054081  $     1884462  $       0      $       0      $      97      $           0  $              $0.742517      $116928.000000      $1.049235 $1.153155 $0.120365 $     0.91  $     9.58  
52119 $ 10562   $ 12114324392  $  4998670695     $     4007298  $   196349271  $   241264147  $     1653186  $      24      $       0      $      97      $           0  $              $2.423509      $4007298.000000      $23.271025 $28.594269 $0.195933 $     0.81  $   145.94  
52117 $ 10564   $  2852973459  $  3987843983     $      130914  $     6017345  $     6311020  $      709165  $       0      $       0      $      97      $           0  $              $0.715418      $130914.000000      $0.711849 $0.746590 $0.083894 $     0.95  $     8.90  
52119 $ 11127   $ 13049970141  $  5354689658     $     4141801  $   211301557  $   257742289  $      882362  $      21      $       0      $      97      $           0  $              $2.437110      $4141801.000000      $23.935043 $29.195587 $0.099949 $     0.82  $   292.10  
52119 $ 11129   $    14601621  $     5830249     $        3511  $      234369  $      272121  $         950  $       0      $       0      $      97      $           0  $              $2.504459      $3511.000000      $7.499808 $8.707872 $0.030400 $     0.86  $   286.44  
52119 $ 12132   $ 22231074769  $  9148099042     $     7177212  $   359911570  $   438063058  $     3177759  $      47      $       0      $      97      $           0  $              $2.430131      $7177212.000000      $22.965445 $27.952181 $0.202768 $     0.82  $   137.85  
