PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54469 $  1003   $  4240510901  $  5166745108     $      964234  $   158841708  $    29222198  $    15027511  $      38      $       0      $      97      $           0  $              $0.820732      $964234.000000      $10.135463 $1.864627 $0.958884 $     5.44  $     1.94  
54467 $  1003   $  3388589333  $  8791780848     $    40656316  $   237437847  $   177152856  $    34477806  $       0      $       0      $      97      $           0  $              $0.385427      $40656316.000000      $15.150570 $11.303872 $2.199980 $     1.34  $     5.14  
54469 $  2005   $  4799440942  $  5868095460     $     2447544  $   190712423  $    40018624  $    25187258  $      39      $       0      $      97      $           0  $              $0.817887      $2447544.000000      $12.181232 $2.556080 $1.608767 $     4.77  $     1.59  
54467 $  2005   $  3541005200  $  9332803770     $    42200324  $   250137812  $   186471906  $    39817283  $       0      $       0      $      97      $           0  $              $0.379415      $42200324.000000      $15.976866 $11.910381 $2.543220 $     1.34  $     4.68  
54469 $  3007   $ 16204437112  $  8992145101     $    11000409  $   754049382  $   121370991  $    68611214  $      49      $       0      $      97      $           0  $              $1.802066      $11000409.000000      $48.162838 $7.752239 $4.382353 $     6.21  $     1.77  
54467 $  3007   $  3293306471  $  9119850532     $    48449697  $   266819884  $   200127358  $    38204882  $       0      $       0      $      97      $           0  $              $0.361114      $48449696.000000      $17.042389 $12.782586 $2.440232 $     1.33  $     5.24  
54467 $  3330   $  1168169828  $  3041097344     $    13732379  $    80433035  $    60325623  $    12737188  $       0      $       0      $      97      $           0  $              $0.384128      $13732379.000000      $15.937195 $11.953065 $2.523777 $     1.33  $     4.74  
54469 $  3331   $  3210431309  $  1615717830     $     1217395  $   146278535  $    19622848  $    10803959  $      13      $       0      $      97      $           0  $              $1.987000      $1217395.000000      $28.894524 $3.876118 $2.134115 $     7.45  $     1.82  
54467 $  4133   $  2899358415  $  7337379449     $    36589117  $   219077218  $   163109352  $    33343567  $       0      $       0      $      97      $           0  $              $0.395149      $36589116.000000      $17.460699 $12.999997 $2.657520 $     1.34  $     4.89  
54467 $  4135   $      323472  $     1446337     $       14796  $       85203  $       65252  $        8009  $       0      $       0      $      97      $           0  $              $0.223649      $14796.000000      $2.726496 $2.088064 $0.256288 $     1.31  $     8.15  
54467 $  5137   $  3361965043  $  8872551295     $    44491074  $   257191006  $   192621394  $    37450126  $      38      $       0      $      97      $           0  $              $0.378918      $44491072.000000      $16.427370 $12.303163 $2.392024 $     1.34  $     5.14  
54492 $  1002   $  3901512646  $  5042070404     $      948291  $   143449472  $    27141600  $    14146638  $       0      $       0      $      97      $           0  $              $0.773792      $948291.000000      $9.162441 $1.733595 $0.903578 $     5.29  $     1.92  
54492 $  2004   $  4771335249  $  5651121680     $     1389813  $   184990489  $    34406974  $    20544324  $      39      $       0      $      97      $           0  $              $0.844316      $1389813.000000      $11.815761 $2.197651 $1.312212 $     5.38  $     1.67  
54467 $  6139   $  3433338737  $  8969903293     $    42130509  $   248488986  $   185106825  $    39210883  $       0      $       0      $      97      $           0  $              $0.382762      $42130508.000000      $15.871552 $11.823191 $2.504488 $     1.34  $     4.72  
54492 $  3006   $ 15883874440  $  8998557791     $    10611151  $   739081363  $   122491744  $    69949729  $      49      $       0      $      97      $           0  $              $1.765158      $10611151.000000      $47.206791 $7.823824 $4.467847 $     6.03  $     1.75  
54467 $  7141   $  3292778521  $  9114897853     $    48718597  $   267915988  $   200895214  $    38141403  $       0      $       0      $      97      $           0  $              $0.361252      $48718596.000000      $17.112398 $12.831631 $2.436177 $     1.33  $     5.27  
54467 $  7485   $  1214851524  $  3199768462     $    13674584  $    80766903  $    60670459  $    13175024  $       0      $       0      $      97      $           0  $              $0.379669      $13674584.000000      $15.026401 $11.287527 $2.451167 $     1.33  $     4.60  
54492 $  3350   $  3905331630  $  2154193458     $     2527862  $   182352486  $    29183776  $    17489254  $      15      $       0      $      97      $           0  $              $1.812897      $2527862.000000      $33.926044 $5.429540 $3.253815 $     6.25  $     1.67  
54467 $  8228   $  2806886807  $  7032094581     $    33917824  $   205441535  $   152655101  $    32242712  $       0      $       0      $      97      $           0  $              $0.399154      $33917824.000000      $17.696175 $13.149296 $2.777300 $     1.35  $     4.73  
54467 $  8230   $      303614  $     1341983     $       15591  $       79993  $       60711  $        3818  $       0      $       0      $      97      $           0  $              $0.226243      $15591.000000      $2.559776 $1.942752 $0.122176 $     1.32  $    15.90  
54467 $  9233   $  3275506269  $  8733670214     $    45963077  $   263116115  $   196987977  $    37248361  $      38      $       0      $      97      $           0  $              $0.375043      $45963076.000000      $16.789064 $12.569523 $2.376765 $     1.34  $     5.29  
54497 $  1003   $  3920718769  $  5049073817     $     1012288  $   143500283  $    30862922  $    14139459  $       0      $       0      $      97      $           0  $              $0.776522      $1012288.000000      $9.156549 $1.969319 $0.902219 $     4.65  $     2.18  
54497 $  2005   $  4802230683  $  5704593805     $     1528337  $   185594244  $    38298811  $    20387444  $      39      $       0      $      97      $           0  $              $0.841818      $1528337.000000      $11.854322 $2.446232 $1.302192 $     4.85  $     1.88  
54467 $ 10235   $  3370379356  $  8966287415     $    42218073  $   246570105  $   184698760  $    37466289  $       0      $       0      $      97      $           0  $              $0.375895      $42218072.000000      $15.748989 $11.797126 $2.393056 $     1.33  $     4.93  
54497 $  2586   $  8726329880  $  5155278009     $     6000414  $   403450320  $    75905702  $    38518114  $      28      $       0      $      97      $           0  $              $1.692698      $6000414.000000      $44.442032 $8.361385 $4.242959 $     5.32  $     1.97  
54467 $ 10816   $  1919489095  $  5252986417     $    28350590  $   157746262  $   117667183  $    22748718  $       0      $       0      $      97      $           0  $              $0.365409      $28350590.000000      $17.376524 $12.961617 $2.505883 $     1.34  $     5.17  
