PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
50984 $  1003   $  4386890945  $  5196491125     $      998673  $   166079660  $    31102539  $    15340808  $      41      $       0      $      97      $           0  $              $0.844202      $998673.000000      $10.597306 $1.984609 $0.978875 $     5.34  $     2.03  
50982 $  1003   $ 14710853222  $  8873975042     $       95978  $  1854873242  $     6519205  $     4943233  $       0      $       0      $      97      $           0  $              $1.657753      $95978.000000      $118.356819 $0.415981 $0.315421 $   284.52  $     1.32  
50984 $  2005   $  5787290611  $  5922730190     $     2742972  $   234510288  $    45608796  $    26132351  $      44      $       0      $      97      $           0  $              $0.977132      $2742972.000000      $14.978701 $2.913137 $1.669132 $     5.14  $     1.75  
50982 $  2005   $ 15420171315  $  9312377710     $       75646  $  1941054679  $     6473089  $     5108661  $       0      $       0      $      97      $           0  $              $1.655879      $75646.000000      $123.979546 $0.413451 $0.326302 $   299.87  $     1.27  
50984 $  3007   $ 17502089593  $  9009421689     $    11867115  $   813108269  $   132577876  $    68664763  $      53      $       0      $      97      $           0  $              $1.942643      $11867115.000000      $51.935059 $8.468048 $4.385773 $     6.13  $     1.93  
50982 $  3007   $ 15075998647  $  9069875289     $       80629  $  1899124075  $     6478525  $     5282159  $       0      $       0      $      97      $           0  $              $1.662206      $80629.000000      $121.301338 $0.413798 $0.337383 $   293.14  $     1.23  
50982 $  3179   $  2762102334  $  1643804410     $       13177  $   349756607  $     1070117  $      798384  $       0      $       0      $      97      $           0  $              $1.680311      $13177.000000      $130.141998 $0.398183 $0.297073 $   326.84  $     1.34  
50984 $  3179   $   770627163  $   333568110     $      271817  $    36116441  $     4054423  $     3065514  $       7      $       0      $      97      $           0  $              $2.310254      $271817.000000      $13.438675 $1.508623 $1.140656 $     8.91  $     1.32  
50982 $  4124   $ 14994837332  $  8941950574     $       72245  $  1892174937  $     6307814  $     4267445  $       0      $       0      $      97      $           0  $              $1.676909      $72245.000000      $128.147293 $0.427196 $0.289012 $   299.97  $     1.48  
50982 $  4126   $     2335263  $     1375259     $           2  $      299406  $         573  $         493  $       0      $       0      $      97      $           0  $              $1.698053      $2.000000      $9.580992 $0.018336 $0.015776 $   522.52  $     1.16  
50982 $  5128   $ 14964047078  $  9031315027     $       93004  $  1882238065  $     6239236  $     4944601  $      42      $       0      $      97      $           0  $              $1.656907      $93004.000000      $120.222794 $0.398514 $0.315823 $   301.68  $     1.26  
51003 $  1002   $  4246341242  $  5081921511     $     1100201  $   158509806  $    33676428  $    14262793  $       0      $       0      $      97      $           0  $              $0.835578      $1100201.000000      $10.124379 $2.150989 $0.910997 $     4.71  $     2.36  
51003 $  2004   $  5273769488  $  5792927406     $     2713620  $   210802157  $    47228267  $    25409352  $      43      $       0      $      97      $           0  $              $0.910381      $2713620.000000      $13.464410 $3.016576 $1.622953 $     4.46  $     1.86  
50982 $  6130   $ 14937479135  $  8986064824     $       72355  $  1883391001  $     5964520  $     4753276  $       0      $       0      $      97      $           0  $              $1.662294      $72355.000000      $120.296432 $0.380967 $0.303602 $   315.77  $     1.25  
51003 $  3006   $ 16995771193  $  9000530658     $    12234413  $   787742091  $   151102837  $    65957199  $      53      $       0      $      97      $           0  $              $1.888308      $12234413.000000      $50.314865 $9.651278 $4.212835 $     5.21  $     2.29  
50982 $  7132   $ 15029269138  $  9065190595     $       80754  $  1892010788  $     6439085  $     5266940  $       0      $       0      $      97      $           0  $              $1.657910      $80754.000000      $120.846992 $0.411279 $0.336411 $   293.83  $     1.22  
50982 $  7339   $  3218213889  $  1938255039     $       18350  $   403433621  $     1543284  $     1162783  $       0      $       0      $      97      $           0  $              $1.660367      $18350.000000      $124.733101 $0.477151 $0.359508 $   261.41  $     1.33  
51003 $  3213   $  2069625381  $   976961706     $      667528  $    92947586  $    15609482  $     6004495  $       9      $       0      $      97      $           0  $              $2.118430      $667528.000000      $28.737417 $4.826120 $1.856462 $     5.95  $     2.60  
50982 $  8212   $ 13861720649  $  8257390728     $       64208  $  1751430616  $     5662976  $     3859431  $       0      $       0      $      97      $           0  $              $1.678705      $64208.000000      $128.398117 $0.415155 $0.282937 $   309.28  $     1.47  
50982 $  8214   $     2309078  $     1363611     $           4  $      296131  $         608  $         504  $       0      $       0      $      97      $           0  $              $1.693355      $4.000000      $9.476192 $0.019456 $0.016128 $   487.06  $     1.21  
