PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
29295 $  1004   $  4891329189  $  2291276517     $      746901  $      624278  $      662928  $         297  $      20      $       0      $      97      $           0  $              $2.134762      $746901.000000      $0.039795 $0.042258 $0.000019 $     0.94  $  2232.08  
29295 $  2009   $  5232924304  $  2449701219     $      766826  $      667817  $      707348  $         936  $      19      $       0      $      97      $           0  $              $2.136148      $766826.000000      $0.042528 $0.045045 $0.000060 $     0.94  $   755.71  
29295 $  3013   $  4847145246  $  2272156853     $      745195  $      617222  $      657727  $         155  $      22      $       0      $      97      $           0  $              $2.133279      $745195.000000      $0.039345 $0.041927 $0.000010 $     0.94  $  4243.40  
29295 $  4016   $  4847392682  $  2272369935     $      745219  $      617021  $      656810  $         184  $      22      $       0      $      97      $           0  $              $2.133188      $745219.000000      $0.039371 $0.041910 $0.000012 $     0.94  $  3569.62  
29295 $  5019   $  4848361094  $  2272298435     $      742996  $      618575  $      656378  $         120  $      22      $       0      $      97      $           0  $              $2.133681      $742996.000000      $0.039470 $0.041883 $0.000008 $     0.94  $  5469.82  
29295 $  6022   $  5297638345  $  2483839884     $      411893  $      674601  $      715168  $         108  $      19      $       0      $      97      $           0  $              $2.132842      $411893.000000      $0.043045 $0.045634 $0.000007 $     0.94  $  6621.93  
29295 $  7026   $  4847647499  $  2272273198     $      214715  $      617433  $      658910  $         189  $      23      $       0      $      97      $           0  $              $2.133391      $214715.000000      $0.039358 $0.042002 $0.000012 $     0.94  $  3486.30  
29295 $  8030   $  4848313555  $  2272702776     $      215380  $      617564  $      655002  $         130  $      23      $       0      $      97      $           0  $              $2.133281      $215380.000000      $0.039367 $0.041753 $0.000008 $     0.94  $  5038.48  
29295 $  9034   $  4845942010  $  2272647058     $      214236  $      616639  $      653029  $         116  $      24      $       0      $      97      $           0  $              $2.132290      $214236.000000      $0.039308 $0.041627 $0.000007 $     0.94  $  5629.56  
29295 $ 10038   $  5254346649  $  2462899099     $      233554  $      668320  $      708040  $         160  $      20      $       0      $      97      $           0  $              $2.133399      $233554.000000      $0.042602 $0.045134 $0.000010 $     0.94  $  4425.25  
29295 $ 11042   $  4846440132  $  2271996670     $      214274  $      618119  $      655937  $         130  $      23      $       0      $      97      $           0  $              $2.133119      $214274.000000      $0.039402 $0.041813 $0.000008 $     0.94  $  5045.67  
29295 $ 12046   $  4847608224  $  2272378191     $      213937  $      617675  $      654614  $         129  $      23      $       0      $      97      $           0  $              $2.133276      $213937.000000      $0.039374 $0.041728 $0.000008 $     0.94  $  5074.53  
29295 $ 13050   $  4853575590  $  2272742138     $      215399  $      618201  $      656399  $         113  $      24      $       0      $      97      $           0  $              $2.135559      $215399.000000      $0.039407 $0.041842 $0.000007 $     0.94  $  5808.84  
