PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
29374 $  1003   $ 15105885819  $  9032493923     $      101590  $  1908442115  $     6490254  $     4475529  $      34      $       0      $      97      $           0  $              $1.672394      $101590.000000      $121.774971 $0.414134 $0.285577 $   294.05  $     1.45  
29374 $  2006   $ 15362034062  $  9155777917     $       79355  $  1941063412  $     6308189  $     4362482  $      35      $       0      $      97      $           0  $              $1.677851      $79355.000000      $123.856491 $0.402517 $0.278364 $   307.71  $     1.45  
29374 $  3009   $ 15365318252  $  9157443863     $       78672  $  1941549999  $     6313570  $     4360439  $      35      $       0      $      97      $           0  $              $1.677905      $78672.000000      $123.887535 $0.402860 $0.278233 $   307.52  $     1.45  
29374 $  4012   $ 15365604550  $  9157419807     $       78297  $  1941601318  $     6307615  $     4362280  $      35      $       0      $      97      $           0  $              $1.677940      $78297.000000      $123.890808 $0.402480 $0.278351 $   307.82  $     1.45  
29374 $  5015   $ 15682740450  $  9347592419     $       79197  $  1982222948  $     6393171  $     4437055  $      36      $       0      $      97      $           0  $              $1.677730      $79197.000000      $126.482819 $0.407939 $0.283122 $   310.05  $     1.44  
29374 $  6018   $ 15363174093  $  9156571486     $       80537  $  1941216432  $     6315512  $     4364032  $      35      $       0      $      97      $           0  $              $1.677830      $80537.000000      $123.866249 $0.402984 $0.278463 $   307.37  $     1.45  
29374 $  7021   $ 15364790727  $  9157341777     $       79390  $  1941465538  $     6312338  $     4361762  $      36      $       0      $      97      $           0  $              $1.677866      $79390.000000      $123.882149 $0.402781 $0.278318 $   307.57  $     1.45  
29374 $  8024   $ 15361238597  $  9156630094     $       78980  $  1940960397  $     6312739  $     4361707  $      35      $       0      $      97      $           0  $              $1.677608      $78980.000000      $123.849915 $0.402807 $0.278314 $   307.47  $     1.45  
29374 $  9027   $ 15698498739  $  9357179157     $       79451  $  1984250076  $     6405412  $     4436325  $      36      $       0      $      97      $           0  $              $1.677696      $79451.000000      $126.612167 $0.408720 $0.283076 $   309.78  $     1.44  
29374 $ 10030   $ 15361944435  $  9156278002     $       79010  $  1941052269  $     6311759  $     4360762  $      35      $       0      $      97      $           0  $              $1.677750      $79010.000000      $123.855782 $0.402744 $0.278254 $   307.53  $     1.45  
29374 $ 11033   $ 15363193822  $  9156718581     $       78532  $  1941248903  $     6311779  $     4363257  $      35      $       0      $      97      $           0  $              $1.677806      $78532.000000      $123.868324 $0.402746 $0.278413 $   307.56  $     1.45  
29374 $ 12036   $ 15362300282  $  9156939869     $       78719  $  1941151218  $     6306530  $     4361339  $      35      $       0      $      97      $           0  $              $1.677667      $78719.000000      $123.862091 $0.402411 $0.278291 $   307.80  $     1.45  
29374 $ 13039   $ 15714313434  $  9366776371     $       77921  $  1986300763  $     6396670  $     4435347  $      36      $       0      $      97      $           0  $              $1.677665      $77921.000000      $126.743019 $0.408162 $0.283013 $   310.52  $     1.44  
29374 $ 14041   $ 15361314386  $  9156277325     $       79281  $  1940980141  $     6310829  $     4362190  $      35      $       0      $      97      $           0  $              $1.677681      $79281.000000      $123.974777 $0.403087 $0.278623 $   307.56  $     1.45  
