PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
33045 $  1004   $ 18211270738  $  8878220354     $     3061317  $   271999480  $   271928396  $     1135315  $      33      $       0      $      97      $           0  $              $2.051230      $3061317.000000      $17.338614 $17.334080 $0.072371 $     1.00  $   239.52  
33045 $  2007   $ 20944386954  $  9191880035     $     3600590  $   320166410  $   320027618  $      313951  $      34      $       0      $      97      $           0  $              $2.278575      $3600590.000000      $20.429361 $20.420506 $0.020033 $     1.00  $  1019.36  
33045 $  3010   $ 20902179711  $  9365066365     $     3566901  $   318066639  $   317961673  $      309367  $      34      $       0      $      97      $           0  $              $2.231930      $3566901.000000      $20.295378 $20.288681 $0.019740 $     1.00  $  1027.78  
33045 $  4013   $ 19781898400  $  9190005548     $     3358942  $   298485662  $   298395367  $      314785  $      34      $       0      $      97      $           0  $              $2.152545      $3358942.000000      $19.045944 $19.040182 $0.020086 $     1.00  $   947.93  
33045 $  5016   $ 19326981989  $  9184669993     $     3266432  $   290028659  $   289896670  $      370213  $      34      $       0      $      97      $           0  $              $2.104265      $3266432.000000      $18.506315 $18.497892 $0.023623 $     1.00  $   783.05  
33045 $  6019   $ 20941872424  $  9190380394     $     3605375  $   320137260  $   320006401  $      311095  $      34      $       0      $      97      $           0  $              $2.278673      $3605375.000000      $20.427502 $20.419151 $0.019851 $     1.00  $  1028.65  
33045 $  7022   $ 21091329072  $  9367809256     $     3607679  $   321566225  $   321472452  $      308912  $      35      $       0      $      97      $           0  $              $2.251469      $3607679.000000      $20.518682 $20.512699 $0.019711 $     1.00  $  1040.66  
33045 $  8025   $ 19442595743  $  9187738364     $     3277095  $   292268477  $   292147219  $      308854  $      34      $       0      $      97      $           0  $              $2.116146      $3277095.000000      $18.649235 $18.641499 $0.019708 $     1.00  $   945.91  
33045 $  9028   $ 21085816856  $  9185775187     $     3635753  $   322737819  $   322665825  $      344844  $      35      $       0      $      97      $           0  $              $2.295486      $3635753.000000      $20.593441 $20.588846 $0.022004 $     1.00  $   935.69  
33045 $ 10031   $ 20461451197  $  9188078299     $     3503248  $   311177975  $   311100012  $      304738  $      34      $       0      $      97      $           0  $              $2.226957      $3503248.000000      $19.855824 $19.850847 $0.019445 $     1.00  $  1020.88  
33045 $ 11034   $ 20049498570  $  9385043354     $     3379030  $   301998623  $   301892720  $      304172  $      34      $       0      $      97      $           0  $              $2.136325      $3379030.000000      $19.270102 $19.263346 $0.019409 $     1.00  $   992.51  
33045 $ 12037   $ 19909850088  $  9183855421     $     3389620  $   300907503  $   300783264  $      372401  $      34      $       0      $      97      $           0  $              $2.167918      $3389620.000000      $19.200478 $19.192551 $0.023762 $     1.00  $   807.69  
33045 $ 13040   $ 19908185874  $  9184332459     $     3384595  $   300881550  $   300797349  $      305447  $      34      $       0      $      97      $           0  $              $2.167625      $3384595.000000      $19.198822 $19.193449 $0.019490 $     1.00  $   984.78  
33045 $ 14043   $ 20063407754  $  9181142535     $     3413278  $   303804877  $   303728033  $      303688  $      34      $       0      $      97      $           0  $              $2.185284      $3413278.000000      $19.385355 $19.380453 $0.019378 $     1.00  $  1000.13  
33045 $ 15046   $ 20703266203  $  9394371782     $     3517934  $   314130023  $   314020314  $      313323  $      35      $       0      $      97      $           0  $              $2.203795      $3517934.000000      $20.044188 $20.037189 $0.019993 $     1.00  $  1002.23  
33045 $ 16048   $ 18699697070  $  9183073534     $     3116892  $   278325211  $   278229811  $      365818  $      34      $       0      $      97      $           0  $              $2.036322      $3116892.000000      $17.777260 $17.771166 $0.023366 $     1.00  $   760.57  
33045 $ 17051   $ 19906672370  $  9181554170     $     3379614  $   300869023  $   300781403  $      301367  $      34      $       0      $      97      $           0  $              $2.168116      $3379614.000000      $19.198023 $19.192432 $0.019230 $     1.00  $   998.06  
