PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
29254 $  1003   $  3101980354  $  8823587299     $    10569656  $   386927873  $   383559738  $     1389775  $      31      $       0      $      97      $           0  $              $0.351555      $10569656.000000      $24.689316 $24.474400 $0.088680 $     1.01  $   275.99  
29254 $  2006   $  3220491560  $  9224368782     $    11073150  $   407380145  $   403596702  $      923657  $      32      $       0      $      97      $           0  $              $0.349129      $11073150.000000      $25.994347 $25.752930 $0.058937 $     1.01  $   436.96  
29254 $  3009   $  3381990749  $  9665296749     $    11438627  $   426279306  $   422428036  $      972838  $      33      $       0      $      97      $           0  $              $0.349911      $11438627.000000      $27.200274 $26.954531 $0.062075 $     1.01  $   434.22  
29254 $  4012   $  3296001081  $  9377459833     $    10864946  $   415992703  $   412944260  $      367823  $      33      $       0      $      97      $           0  $              $0.351481      $10864946.000000      $26.543901 $26.349384 $0.023470 $     1.01  $  1122.67  
29254 $  5015   $  3317006385  $  9436816229     $    10977533  $   418639800  $   415579510  $      339955  $      33      $       0      $      97      $           0  $              $0.351496      $10977533.000000      $26.712809 $26.517536 $0.021692 $     1.01  $  1222.45  
29254 $  6018   $  3231566908  $  9225819133     $    11256990  $   406032998  $   404280535  $      272980  $      33      $       0      $      97      $           0  $              $0.350274      $11256990.000000      $25.908386 $25.796566 $0.017418 $     1.00  $  1480.99  
29254 $  7021   $  3380036892  $  9650483934     $    11798360  $   426112004  $   424885556  $       85351  $      33      $       0      $      97      $           0  $              $0.350245      $11798360.000000      $27.189600 $27.111341 $0.005446 $     1.00  $  4978.10  
29254 $  8024   $  3259643368  $  9224719479     $    11207783  $   402958190  $   401568114  $      728151  $      33      $       0      $      97      $           0  $              $0.353360      $11207783.000000      $25.712187 $25.623489 $0.046462 $     1.00  $   551.49  
29254 $  9027   $  3227368837  $  9233418555     $    10992676  $   408076427  $   404545177  $      931123  $      33      $       0      $      97      $           0  $              $0.349531      $10992676.000000      $26.038774 $25.813452 $0.059414 $     1.01  $   434.47  
29254 $ 10030   $  3227460350  $  9234919382     $    10980886  $   408170990  $   404488296  $      983378  $      33      $       0      $      97      $           0  $              $0.349484      $10980886.000000      $26.044807 $25.809820 $0.062748 $     1.01  $   411.33  
29254 $ 11033   $  3398050683  $  9699524630     $    11394757  $   428285748  $   424709802  $      883201  $      33      $       0      $      97      $           0  $              $0.350332      $11394757.000000      $27.328304 $27.100126 $0.056356 $     1.01  $   480.88  
29254 $ 12036   $  3299845038  $  9387096084     $    10891570  $   416328701  $   413416156  $      376025  $      33      $       0      $      97      $           0  $              $0.351530      $10891570.000000      $26.565342 $26.379496 $0.023994 $     1.01  $  1099.44  
29254 $ 13039   $  3246171655  $  9232528611     $    10716194  $   409604802  $   406705842  $      408979  $      33      $       0      $      97      $           0  $              $0.351602      $10716194.000000      $26.136299 $25.951321 $0.026096 $     1.01  $   994.44  
29254 $ 14042   $  3236427348  $  9237172381     $    11283947  $   406879002  $   405489824  $      234635  $      33      $       0      $      97      $           0  $              $0.350370      $11283947.000000      $25.962370 $25.873728 $0.014972 $     1.00  $  1728.17  
29254 $ 15045   $  3404863408  $  9712472686     $    11822371  $   429132810  $   428009651  $      134123  $      33      $       0      $      97      $           0  $              $0.350566      $11822371.000000      $27.382353 $27.310686 $0.008558 $     1.00  $  3191.17  
