PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
33109 $  1004   $ 20203036094  $  9208092118     $     5715658  $   324765465  $   390280518  $    35226101  $      35      $       0      $      97      $           0  $              $2.194052      $5715658.000000      $20.702181 $24.878439 $2.245488 $     0.83  $    11.08  
33109 $  2007   $ 20372178419  $  9155979302     $     5697255  $   327224854  $   390854158  $    35219589  $      36      $       0      $      97      $           0  $              $2.225014      $5697255.000000      $20.879751 $24.939846 $2.247312 $     0.84  $    11.10  
33109 $  3010   $ 20706716051  $  9156130305     $     5790442  $   332991485  $   395616250  $    33877260  $      36      $       0      $      97      $           0  $              $2.261514      $5790442.000000      $21.247711 $25.243710 $2.161660 $     0.84  $    11.68  
33109 $  4013   $ 20502841137  $  9162052513     $     5933348  $   330298992  $   397143389  $    33989827  $      36      $       0      $      97      $           0  $              $2.237800      $5933348.000000      $21.075909 $25.341154 $2.168843 $     0.83  $    11.68  
33109 $  5016   $ 21233565934  $  9549316415     $     5949353  $   341465172  $   407603544  $    34440533  $      37      $       0      $      97      $           0  $              $2.223569      $5949353.000000      $21.788406 $26.008602 $2.197601 $     0.84  $    11.83  
33109 $  6019   $ 20392467795  $  9155644178     $     5730300  $   327537181  $   391882303  $    34123700  $      36      $       0      $      97      $           0  $              $2.227311      $5730300.000000      $20.899681 $25.005451 $2.177385 $     0.84  $    11.48  
33109 $  7022   $ 20555610313  $  9161068512     $     5658835  $   329993983  $   392613947  $    36673258  $      36      $       0      $      97      $           0  $              $2.243800      $5658835.000000      $21.056446 $25.052137 $2.340068 $     0.84  $    10.71  
33109 $  8024   $ 20426057538  $  9156383529     $     5889877  $   328800982  $   394042004  $    34109647  $      36      $       0      $      97      $           0  $              $2.230800      $5889877.000000      $21.001261 $25.168352 $2.178660 $     0.83  $    11.55  
33109 $  9027   $ 21098377999  $  9557895124     $     5835080  $   338749471  $   404171132  $    36607413  $      37      $       0      $      97      $           0  $              $2.207429      $5835080.000000      $21.615120 $25.789583 $2.335867 $     0.84  $    11.04  
33109 $ 10030   $ 20493736897  $  9155050745     $     5818853  $   329606759  $   393831115  $    33966856  $      36      $       0      $      97      $           0  $              $2.238517      $5818853.000000      $21.031736 $25.129801 $2.167377 $     0.84  $    11.59  
33109 $ 11033   $ 20618047206  $  9161563082     $     5763175  $   331652026  $   395615936  $    35225280  $      36      $       0      $      97      $           0  $              $2.250494      $5763175.000000      $21.162243 $25.243689 $2.247675 $     0.84  $    11.23  
33109 $ 12036   $ 20572712527  $  9155609602     $     5909988  $   331476289  $   396481180  $    34173023  $      36      $       0      $      97      $           0  $              $2.247006      $5909988.000000      $21.151030 $25.298899 $2.180532 $     0.84  $    11.60  
33109 $ 13039   $ 21250498290  $  9568217218     $     5911243  $   341578906  $   407478276  $    35643412  $      37      $       0      $      97      $           0  $              $2.220947      $5911243.000000      $21.795664 $26.000608 $2.274355 $     0.84  $    11.43  
33109 $ 14042   $ 20577344403  $  9155567112     $     5797521  $   331104911  $   396035408  $    35735833  $      36      $       0      $      97      $           0  $              $2.247522      $5797521.000000      $21.127331 $25.270454 $2.280252 $     0.84  $    11.08  
