PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
12296 $  1003   $ 15334330726  $  8811579955     $     1364584  $   342098436  $   452666855  $     5075382  $      49      $       0      $      97      $           0  $              $1.740247      $1364584.000000      $21.828814 $28.884026 $0.323853 $     0.76  $    89.19  
12294 $  1003   $  5555974588  $  7820495018     $    11467770  $   153970763  $   155708033  $   144870444  $       0      $       0      $      97      $           0  $              $0.710438      $11467770.000000      $9.824656 $9.935508 $9.243977 $     0.99  $     1.07  
12292 $  1003   $  2898522146  $  8881910507     $    14746758  $   122744461  $    82092797  $    80842713  $      46      $       0      $      97      $           0  $              $0.326340      $14746758.000000      $7.832149 $5.238225 $5.158458 $     1.50  $     1.02  
12290 $  1004   $  2898341479  $  8881557702     $    14740967  $   122749242  $    82097612  $    80849532  $       0      $       0      $      97      $           0  $              $0.326333      $14740967.000000      $7.824653 $5.233314 $5.153755 $     1.50  $     1.02  
12296 $  2006   $ 15618783349  $  9097267637     $     1377181  $   349911160  $   464336973  $     5034679  $      51      $       0      $      97      $           0  $              $1.716865      $1377181.000000      $22.327333 $29.628679 $0.321256 $     0.75  $    92.23  
12294 $  2006   $  6415945275  $  9106838282     $    15281446  $   199586203  $   199644601  $   194111370  $       0      $       0      $      97      $           0  $              $0.704520      $15281446.000000      $12.735312 $12.739038 $12.385970 $     1.00  $     1.03  
12292 $  2006   $  2928368147  $  9097710490     $    15788479  $   132359635  $    88330869  $    87100729  $      46      $       0      $      97      $           0  $              $0.321880      $15788479.000000      $8.445680 $5.636267 $5.557773 $     1.50  $     1.01  
12290 $  2007   $  2927641659  $  9096257156     $    15807033  $   132376905  $    88339701  $    87108422  $       0      $       0      $      97      $           0  $              $0.321851      $15807033.000000      $8.446781 $5.636830 $5.558264 $     1.50  $     1.01  
12296 $  3008   $ 15600527515  $  9097333484     $     1392194  $   349045548  $   460026539  $     5045670  $      51      $       0      $      97      $           0  $              $1.714846      $1392194.000000      $22.294325 $29.382933 $0.322278 $     0.76  $    91.17  
12294 $  3008   $  6349396440  $  9106527629     $    15419875  $   200785006  $   200842133  $   195277951  $       0      $       0      $      97      $           0  $              $0.697236      $15419875.000000      $12.824592 $12.828239 $12.472843 $     1.00  $     1.03  
12292 $  3009   $  2916258214  $  9099478617     $    15995338  $   133537438  $    89189267  $    87958410  $      47      $       0      $      97      $           0  $              $0.320486      $15995338.000000      $8.520834 $5.691040 $5.612501 $     1.50  $     1.01  
12290 $  3010   $  2915053036  $  9097094495     $    16014288  $   133463508  $    89158385  $    87932977  $       0      $       0      $      97      $           0  $              $0.320438      $16014288.000000      $8.516116 $5.689069 $5.610878 $     1.50  $     1.01  
12296 $  4011   $ 15618856148  $  9098544058     $     1377335  $   349271625  $   460499171  $     5014048  $      51      $       0      $      97      $           0  $              $1.716632      $1377335.000000      $22.286524 $29.383795 $0.319939 $     0.76  $    91.84  
12294 $  4011   $  6445140721  $  9107960400     $    15424046  $   200845221  $   200901391  $   195338162  $       0      $       0      $      97      $           0  $              $0.707638      $15424046.000000      $12.815647 $12.819231 $12.464250 $     1.00  $     1.03  
12292 $  4012   $  2925577123  $  9098578615     $    16008356  $   133986557  $    89234085  $    88001218  $      47      $       0      $      97      $           0  $              $0.321542      $16008356.000000      $8.549491 $5.693900 $5.615232 $     1.50  $     1.01  
12290 $  4013   $  2926650821  $  9096691560     $    16014372  $   133958864  $    89221610  $    87988295  $       0      $       0      $      97      $           0  $              $0.321727      $16014372.000000      $8.547724 $5.693104 $5.614408 $     1.50  $     1.01  
12296 $  5013   $ 15572170175  $  9097063877     $     1424497  $   348725166  $   461721636  $     5137369  $      50      $       0      $      97      $           0  $              $1.711780      $1424497.000000      $22.273863 $29.491201 $0.328135 $     0.76  $    89.88  
12294 $  5013   $  6384170961  $  9107899928     $    15366679  $   199767109  $   199823874  $   194284306  $       0      $       0      $      97      $           0  $              $0.700949      $15366679.000000      $12.759576 $12.763202 $12.409377 $     1.00  $     1.03  
12292 $  5015   $  2923091156  $  9099148851     $    15993029  $   133943289  $    89192981  $    87958156  $      46      $       0      $      97      $           0  $              $0.321249      $15993029.000000      $8.546730 $5.691277 $5.612485 $     1.50  $     1.01  
12290 $  5016   $  2923788249  $  9096592967     $    16002193  $   133917661  $    89171151  $    87930872  $       0      $       0      $      97      $           0  $              $0.321416      $16002193.000000      $8.545095 $5.689884 $5.610744 $     1.50  $     1.01  
12296 $  6015   $ 15642317910  $  9097030261     $     1371790  $   350047880  $   462255225  $     4986060  $      50      $       0      $      97      $           0  $              $1.719497      $1371790.000000      $22.358347 $29.525284 $0.318471 $     0.76  $    92.71  
12294 $  6016   $  6366813101  $  9107144245     $    15286259  $   199100189  $   199157622  $   193631670  $       0      $       0      $      97      $           0  $              $0.699101      $15286259.000000      $12.704299 $12.707964 $12.355360 $     1.00  $     1.03  
12292 $  6017   $  2915349455  $  9100493672     $    16007792  $   133544740  $    89179726  $    87946315  $      46      $       0      $      97      $           0  $              $0.320351      $16007792.000000      $8.529803 $5.696110 $5.617329 $     1.50  $     1.01  
12290 $  6019   $  2915917965  $  9098447023     $    16006988  $   133529125  $    89151608  $    87921674  $       0      $       0      $      97      $           0  $              $0.320485      $16006988.000000      $8.520304 $5.688637 $5.610157 $     1.50  $     1.01  
12294 $  7062   $  6311153234  $  6913841706     $     9222435  $   127449956  $   127487875  $   124474972  $       0      $       0      $      97      $           0  $              $0.912829      $9222435.000000      $7.798085 $7.800405 $7.616060 $     1.00  $     1.02  
12296 $  7061   $ 15786977250  $  8787494153     $     1155558  $   351662125  $   463732467  $     4042972  $      46      $       0      $      97      $           0  $              $1.796528      $1155558.000000      $21.516611 $28.373690 $0.247371 $     0.76  $   114.70  
12294 $  7098   $           0  $           0     $           0  $           0  $           0  $           0  $       0      $       0      $      97      $           0  $              $-nan      $0.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
12292 $  6019   $     1991564  $     2956696     $        7919  $      100067  $       49932  $       48845  $       0      $       0      $      97      $           0  $              $0.673578      $7919.000000      $3.202144 $1.597824 $1.563040 $     2.00  $     1.02  
12290 $  6021   $     1051039  $     1578973     $        3885  $       52798  $       26364  $       25789  $       0      $       0      $      97      $           0  $              $0.665647      $3885.000000      $1.689536 $0.843648 $0.825248 $     2.00  $     1.02  
12292 $  6021   $     2205811  $     2798271     $        7016  $      110803  $       55220  $       53717  $       0      $       0      $      97      $           0  $              $0.788276      $7016.000000      $3.545696 $1.767040 $1.718944 $     2.01  $     1.03  
12290 $  6023   $     1135110  $     1484340     $        4028  $       57019  $       28387  $       27658  $       0      $       0      $      97      $           0  $              $0.764724      $4028.000000      $1.824608 $0.908384 $0.885056 $     2.01  $     1.03  
12292 $  7024   $  2943265343  $  9085024055     $    15340120  $   128906585  $    86453853  $    85232017  $      46      $       0      $      97      $           0  $              $0.323969      $15340120.000000      $8.225346 $5.516497 $5.438533 $     1.49  $     1.01  
12290 $  7026   $  2942661253  $  9083766619     $    15340676  $   128885138  $    86425373  $    85207576  $       0      $       0      $      97      $           0  $              $0.323947      $15340676.000000      $8.223977 $5.514680 $5.436974 $     1.49  $     1.01  
12324 $  1002   $ 15451354526  $  8882006557     $     1360699  $   345191431  $   458412930  $     5096037  $      50      $       0      $      65      $           0  $              $1.739624      $1360699.000000      $22.048155 $29.279867 $0.325495 $     0.75  $    89.95  
12326 $  1002   $  5585884735  $  7865847282     $    11528821  $   154983098  $   156513664  $   145671142  $       0      $       0      $      97      $           0  $              $0.710144      $11528821.000000      $9.899120 $9.996881 $9.304344 $     0.99  $     1.07  
12292 $  8027   $  2913405115  $  9098145555     $    16011940  $   133362645  $    89171456  $    87944176  $      46      $       0      $      97      $           0  $              $0.320220      $16011940.000000      $8.509681 $5.689903 $5.611592 $     1.50  $     1.01  
12290 $  8029   $  2911467072  $  9096187813     $    16013022  $   133299918  $    89142038  $    87914964  $       0      $       0      $      97      $           0  $              $0.320076      $16013022.000000      $8.505678 $5.688026 $5.609728 $     1.50  $     1.01  
12324 $  2004   $ 15653674594  $  9099383317     $     1353180  $   350331667  $   463328392  $     4940797  $      50      $       0      $      65      $           0  $              $1.720301      $1353180.000000      $22.376474 $29.593828 $0.315580 $     0.76  $    93.78  
12326 $  2004   $  6412432083  $  9108657005     $    15288136  $   199977524  $   200038655  $   194493398  $       0      $       0      $      97      $           0  $              $0.703993      $15288136.000000      $12.773015 $12.776920 $12.422731 $     1.00  $     1.03  
12292 $  9030   $  2917153551  $  9098396941     $    16004980  $   133576720  $    89191052  $    87961197  $      46      $       0      $      97      $           0  $              $0.320623      $16004980.000000      $8.523340 $5.691154 $5.612679 $     1.50  $     1.01  
12290 $  9032   $  2914309934  $  9096886558     $    16013772  $   133479776  $    89147663  $    87917261  $       0      $       0      $      97      $           0  $              $0.320363      $16013772.000000      $8.517154 $5.688385 $5.609875 $     1.50  $     1.01  
12324 $  3006   $ 15645128022  $  9100772939     $     1363878  $   349836733  $   461099683  $     4966116  $      51      $       0      $      65      $           0  $              $1.719099      $1363878.000000      $22.344862 $29.451477 $0.317197 $     0.76  $    92.85  
12326 $  3006   $  6351531874  $  9109062036     $    15414027  $   200947249  $   201007789  $   195436637  $       0      $       0      $      97      $           0  $              $0.697276      $15414027.000000      $12.834954 $12.838821 $12.482979 $     1.00  $     1.03  
12292 $ 10032   $  2925826068  $  9099199117     $    15999014  $   133974648  $    89227215  $    87987556  $      47      $       0      $      97      $           0  $              $0.321548      $15999014.000000      $8.557263 $5.699143 $5.619963 $     1.50  $     1.01  
12290 $ 10034   $  2923527219  $  9096610466     $    16001662  $   133937764  $    89191471  $    87955479  $       0      $       0      $      97      $           0  $              $0.321386      $16001662.000000      $8.554907 $5.696860 $5.617915 $     1.50  $     1.01  
12324 $  4009   $ 15605031282  $  9101737693     $     1415378  $   349207715  $   461207267  $     5106083  $      51      $       0      $      65      $           0  $              $1.714511      $1415378.000000      $22.282446 $29.428978 $0.325812 $     0.76  $    90.33  
12326 $  4009   $  6448072004  $  9110847965     $    15400482  $   200718768  $   200776436  $   195215443  $       0      $       0      $      97      $           0  $              $0.707736      $15400482.000000      $12.807578 $12.811258 $12.456419 $     1.00  $     1.03  
12292 $ 11034   $  2927594001  $  9109280351     $    16015830  $   134069735  $    89319008  $    88081017  $      46      $       0      $      97      $           0  $              $0.321386      $16015830.000000      $8.563336 $5.705007 $5.625933 $     1.50  $     1.01  
12290 $ 11037   $  2926414544  $  9106855120     $    16023396  $   134029605  $    89281167  $    88045509  $       0      $       0      $      97      $           0  $              $0.321342      $16023396.000000      $8.552238 $5.696904 $5.618059 $     1.50  $     1.01  
12324 $  5012   $ 15667104818  $  9100555239     $     1352050  $   350659051  $   464308473  $     4935083  $      51      $       0      $      65      $           0  $              $1.721555      $1352050.000000      $22.375053 $29.626862 $0.314901 $     0.76  $    94.08  
12326 $  5012   $  6378286092  $  9110287849     $    15347176  $   199924418  $   199984141  $   194433410  $       0      $       0      $      97      $           0  $              $0.700119      $15347176.000000      $12.756892 $12.760703 $12.406519 $     1.00  $     1.03  
12292 $ 12037   $  2915281705  $  9099205790     $    15993224  $   133529327  $    89150728  $    87917253  $      46      $       0      $      97      $           0  $              $0.320389      $15993224.000000      $8.520316 $5.688581 $5.609875 $     1.50  $     1.01  
12290 $ 12040   $  2915377636  $  9096669467     $    15994188  $   133490589  $    89108423  $    87881270  $       0      $       0      $      97      $           0  $              $0.320488      $15994188.000000      $8.517844 $5.685882 $5.607579 $     1.50  $     1.01  
12324 $  6014   $ 15664558591  $  9100454184     $     1352089  $   350248187  $   461590440  $     4930020  $      51      $       0      $      65      $           0  $              $1.721294      $1352089.000000      $22.371141 $29.482822 $0.314891 $     0.76  $    93.63  
12326 $  6014   $  6384617587  $  9109549994     $    15250035  $   199199314  $   199260365  $   193736627  $       0      $       0      $      97      $           0  $              $0.700871      $15250035.000000      $12.723310 $12.727209 $12.374395 $     1.00  $     1.03  
