PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
12555 $  1003   $ 14572287762  $  8781164676     $      686116  $  1836423395  $     6482658  $     5131654  $      47      $       0      $      97      $           0  $              $1.659494      $686116.000000      $117.179558 $0.413649 $0.327444 $   283.28  $     1.26  
12553 $  1004   $  3323457132  $  8805591562     $    14538346  $   235733550  $   203796323  $    34143141  $       0      $       0      $      97      $           0  $              $0.377426      $14538346.000000      $15.026840 $12.991000 $2.176455 $     1.16  $     5.97  
12551 $  1003   $  1158245803  $  7063015111     $     4499104  $   244552736  $   237166116  $     4900474  $      45      $       0      $      97      $           0  $              $0.163987      $4499104.000000      $15.604562 $15.133231 $0.312692 $     1.03  $    48.40  
12549 $  1003   $  4960406598  $  8974368218     $    27328588  $   218293786  $   146132364  $   141387356  $       0      $       0      $      97      $           0  $              $0.552731      $27328588.000000      $13.929016 $9.324498 $9.021726 $     1.49  $     1.03  
12555 $  2005   $ 15191318114  $  9098193419     $      650770  $  1916977604  $     6373564  $     5227933  $      48      $       0      $      97      $           0  $              $1.669707      $650770.000000      $122.441689 $0.407094 $0.333920 $   300.77  $     1.22  
12553 $  2006   $  3517248180  $  9143299048     $    15013229  $   244874623  $   211114932  $    39176814  $       0      $       0      $      97      $           0  $              $0.384680      $15013229.000000      $15.640695 $13.484386 $2.502312 $     1.16  $     5.39  
12551 $  2006   $  1012415339  $  5998122686     $     4065843  $   200999575  $   194792007  $     4111918  $      43      $       0      $      97      $           0  $              $0.168789      $4065843.000000      $12.825496 $12.429399 $0.262376 $     1.03  $    47.37  
12549 $  2006   $  5159458209  $  9205867497     $    29532789  $   234251118  $   157181639  $   152305569  $       0      $       0      $      97      $           0  $              $0.560453      $29532788.000000      $14.947230 $10.029536 $9.718401 $     1.49  $     1.03  
12555 $  3007   $ 15206537733  $  9097447093     $      649625  $  1919325953  $     6381608  $     5242133  $      48      $       0      $      97      $           0  $              $1.671517      $649625.000000      $122.591675 $0.407608 $0.334827 $   300.76  $     1.22  
12553 $  3008   $  3352010215  $  9142814299     $    16654236  $   273386892  $   237699717  $    38355095  $       0      $       0      $      97      $           0  $              $0.366628      $16654236.000000      $17.461836 $15.182417 $2.449826 $     1.15  $     6.20  
