PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
27439 $  1003   $ 14662993952  $  8803636859     $      647509  $  1848665834  $     6986665  $     5032620  $      50      $       0      $      97      $           0  $              $1.665561      $647509.000000      $117.960732 $0.445809 $0.321124 $   264.60  $     1.39  
27437 $  1003   $ 22245374528  $  8844318222     $      617156  $   348047714  $   348072153  $     3005765  $       0      $       0      $      97      $           0  $              $2.515216      $617156.000000      $22.208427 $22.209988 $0.191794 $     1.00  $   115.80  
27435 $  1003   $  2406989692  $  8759909173     $     8803613  $   269826610  $   266100428  $     9216820  $      48      $       0      $      97      $           0  $              $0.274773      $8803613.000000      $17.217253 $16.979488 $0.588112 $     1.01  $    28.87  
27433 $  1003   $  5362452171  $  7828615861     $    11321697  $   149104968  $   150977116  $   140773510  $       0      $       0      $      97      $           0  $              $0.684981      $11321697.000000      $9.514174 $9.633635 $8.982556 $     0.99  $     1.07  
27439 $  2005   $ 15273827572  $  9127249712     $      630250  $  1926778567  $     6755348  $     5137381  $      51      $       0      $      97      $           0  $              $1.673432      $630250.000000      $123.067696 $0.431479 $0.328136 $   285.22  $     1.31  
27437 $  2005   $ 23132178461  $  9150850300     $      563939  $   361696091  $   361698197  $     2648898  $       0      $       0      $      97      $           0  $              $2.527872      $563939.000000      $23.102345 $23.102480 $0.169191 $     1.00  $   136.55  
27435 $  2006   $  2402198890  $  9092256918     $     8919989  $   273941879  $   269887254  $     8919984  $      49      $       0      $      97      $           0  $              $0.264203      $8919989.000000      $17.479841 $17.221121 $0.569171 $     1.02  $    30.26  
27433 $  2006   $  6189787416  $  9094861022     $    14941151  $   192507781  $   192563765  $   188001589  $       0      $       0      $      97      $           0  $              $0.680581      $14941151.000000      $12.283647 $12.287219 $11.996113 $     1.00  $     1.02  
27439 $  3007   $ 15273677254  $  9127062373     $      629993  $  1926777209  $     6757011  $     5142202  $      52      $       0      $      97      $           0  $              $1.673449      $629993.000000      $123.067604 $0.431586 $0.328444 $   285.15  $     1.31  
27437 $  3007   $ 23216344186  $  9156776472     $      514122  $   363211071  $   363195577  $     2448560  $       0      $       0      $      97      $           0  $              $2.535428      $514122.000000      $23.199110 $23.198122 $0.156395 $     1.00  $   148.33  
27435 $  3009   $  2401787689  $  9090778645     $     8918384  $   273891658  $   269837616  $     8918343  $      49      $       0      $      97      $           0  $              $0.264200      $8918384.000000      $17.476635 $17.217955 $0.569067 $     1.02  $    30.26  
27433 $  3009   $  6190789786  $  9093104871     $    14940522  $   192560127  $   192616205  $   188055968  $       0      $       0      $      97      $           0  $              $0.680822      $14940522.000000      $12.286987 $12.290565 $11.999583 $     1.00  $     1.02  
27439 $  4009   $ 15270645884  $  9126257290     $      632169  $  1926379743  $     6749283  $     5135700  $      52      $       0      $      97      $           0  $              $1.673265      $632169.000000      $123.042221 $0.431092 $0.328029 $   285.42  $     1.31  
27437 $  4009   $ 23127625618  $  9148267365     $      563954  $   361627451  $   361632917  $     2638623  $       0      $       0      $      97      $           0  $              $2.528088      $563954.000000      $23.097961 $23.098310 $0.168535 $     1.00  $   137.05  
27435 $  4011   $  2402983544  $  9091031770     $     8922761  $   274088742  $   269981108  $     8922573  $      49      $       0      $      97      $           0  $              $0.264325      $8922761.000000      $17.506666 $17.244303 $0.569905 $     1.02  $    30.26  
27433 $  4012   $  6169699507  $  9093341546     $    14975040  $   192820301  $   192877985  $   188308373  $       0      $       0      $      97      $           0  $              $0.678485      $14975040.000000      $12.303589 $12.307269 $12.015689 $     1.00  $     1.02  
27439 $  5012   $ 15271578122  $  9126078203     $      631084  $  1926516614  $     6751231  $     5138089  $      52      $       0      $      97      $           0  $              $1.673400      $631084.000000      $122.928276 $0.430786 $0.327854 $   285.36  $     1.31  
27437 $  5011   $ 23130257910  $  9148629337     $      562012  $   361670545  $   361672811  $     2645698  $       0      $       0      $      97      $           0  $              $2.528276      $562012.000000      $23.100714 $23.100857 $0.168987 $     1.00  $   136.70  
27435 $  5013   $  2432243224  $  9081506688     $     8909538  $   270269168  $   266324535  $     9166397  $      49      $       0      $      97      $           0  $              $0.267824      $8909538.000000      $17.262703 $17.010748 $0.585478 $     1.01  $    29.05  
27433 $  5015   $  6136184586  $  9091921407     $    15004211  $   192818336  $   192874069  $   188317156  $       0      $       0      $      97      $           0  $              $0.674905      $15004211.000000      $12.303463 $12.307019 $12.016249 $     1.00  $     1.02  
27439 $  6015   $ 15281784811  $  9126193153     $      634333  $  1928115324  $     6726813  $     5146426  $      52      $       0      $      97      $           0  $              $1.674497      $634333.000000      $123.030289 $0.429228 $0.328386 $   286.63  $     1.31  
27437 $  6014   $ 23215407902  $  9156493192     $      505082  $   363204302  $   363190158  $     2439231  $       0      $       0      $      97      $           0  $              $2.535404      $505082.000000      $23.175549 $23.174644 $0.155644 $     1.00  $   148.90  
27435 $  6015   $  2400429042  $  9091312840     $     8920059  $   273707497  $   269706031  $     8920060  $      49      $       0      $      97      $           0  $              $0.264035      $8920059.000000      $17.482315 $17.226732 $0.569744 $     1.01  $    30.24  
27433 $  6017   $  6148807936  $  9093557313     $    15028294  $   193304966  $   193360993  $   188789545  $       0      $       0      $      97      $           0  $              $0.676172      $15028294.000000      $12.346824 $12.350403 $12.058414 $     1.00  $     1.02  
27439 $  7018   $ 15290204038  $  9128678935     $      631687  $  1930092719  $     6694363  $     5149392  $      52      $       0      $      97      $           0  $              $1.674963      $631687.000000      $123.156464 $0.427158 $0.328575 $   288.32  $     1.30  
27437 $  7017   $ 23128549885  $  9149227423     $      564399  $   361643806  $   361649001  $     2647977  $       0      $       0      $      97      $           0  $              $2.527924      $564399.000000      $23.075975 $23.076307 $0.168964 $     1.00  $   136.58  
27435 $  7017   $  2627181129  $  9131804488     $     9597214  $   298810852  $   294755926  $     9597206  $      48      $       0      $      97      $           0  $              $0.287696      $9597214.000000      $19.085722 $18.826727 $0.612995 $     1.01  $    30.71  
27433 $  7019   $  6509053749  $  8539733338     $    12120398  $   159621576  $   159667561  $   156133431  $       0      $       0      $      97      $           0  $              $0.762208      $12120398.000000      $10.195390 $10.198328 $9.972594 $     1.00  $     1.02  
27439 $  8021   $ 15324450497  $  9131632118     $      579560  $  1937983919  $     6414769  $     4946526  $      52      $       0      $      97      $           0  $              $1.678172      $579560.000000      $123.659988 $0.409317 $0.315631 $   302.11  $     1.30  
27437 $  8020   $ 23140042688  $  9149119886     $      543320  $   361818605  $   361821877  $     2527012  $       0      $       0      $      97      $           0  $              $2.529210      $543320.000000      $23.087128 $23.087339 $0.161245 $     1.00  $   143.18  
27435 $  7409   $  1358110214  $  3688350798     $     3154933  $   153451593  $   151806361  $     3154921  $      14      $       0      $      97      $           0  $              $0.368216      $3154933.000000      $25.053322 $24.784714 $0.515089 $     1.01  $    48.12  
27433 $  7411   $  1104636054  $   461562340     $      415078  $     8648799  $     8652819  $     8647677  $       0      $       0      $      97      $           0  $              $2.393254      $415078.000000      $1.412049 $1.412705 $1.411866 $     1.00  $     1.00  
27435 $  8134   $  2656241164  $  7033810844     $      203164  $   294792753  $   292104401  $      392197  $      25      $       0      $      97      $           0  $              $0.377639      $203164.000000      $26.023087 $25.785769 $0.034622 $     1.01  $   744.79  
27439 $  8022   $     6321184  $     3748350     $          64  $      810210  $        1869  $        1479  $       0      $       0      $      97      $           0  $              $1.686391      $64.000000      $51.853439 $0.119616 $0.094656 $   433.50  $     1.26  
27437 $  8021   $     4990772  $     2132417     $        2387  $       78044  $       78016  $       16189  $       0      $       0      $      97      $           0  $              $2.340430      $2387.000000      $4.994816 $4.993024 $1.036096 $     1.00  $     4.82  
27439 $  9024   $ 15282345396  $  9126546075     $      631088  $  1928190485  $     6722350  $     5140785  $      52      $       0      $      97      $           0  $              $1.674494      $631088.000000      $123.157875 $0.429372 $0.328354 $   286.83  $     1.31  
27437 $  9023   $ 23131795102  $  9149022167     $      555383  $   361693173  $   361694482  $     2582313  $       0      $       0      $      97      $           0  $              $2.528335      $555383.000000      $23.102160 $23.102243 $0.164938 $     1.00  $   140.07  
27435 $  9137   $  3444285680  $  9205129814     $      233131  $   388289198  $   384777867  $      233129  $      34      $       0      $      97      $           0  $              $0.374170      $233131.000000      $24.776178 $24.552126 $0.014876 $     1.01  $  1650.49  
27439 $ 10026   $ 15279822758  $  9124262588     $      634054  $  1927901787  $     6716594  $     5140324  $      52      $       0      $      97      $           0  $              $1.674636      $634054.000000      $123.139435 $0.429004 $0.328324 $   287.04  $     1.31  
27437 $ 10025   $ 23208844284  $  9153322430     $      504285  $   363095184  $   363085076  $     2454924  $       0      $       0      $      97      $           0  $              $2.535565      $504285.000000      $23.191708 $23.191063 $0.156802 $     1.00  $   147.90  
27435 $ 10139   $  2500856200  $  9102172182     $     9187399  $   284550183  $   280648472  $     9187411  $      49      $       0      $      97      $           0  $              $0.274754      $9187399.000000      $18.174862 $17.925652 $0.586821 $     1.01  $    30.55  
27463 $  1002   $  5348029117  $  7819663817     $    11268512  $   148636101  $   150363876  $   140160228  $       0      $       0      $      97      $           0  $              $0.683921      $11268512.000000      $9.493723 $9.604079 $8.952350 $     0.99  $     1.07  
27439 $ 11028   $ 15278048948  $  9124666825     $      630720  $  1927573832  $     6725821  $     5140388  $      52      $       0      $      97      $           0  $              $1.674368      $630720.000000      $123.118492 $0.429593 $0.328328 $   286.59  $     1.31  
27437 $ 11027   $ 23124714846  $  9148026085     $      564945  $   361580644  $   361581542  $     2661282  $       0      $       0      $      97      $           0  $              $2.527837      $564945.000000      $23.094971 $23.095028 $0.169982 $     1.00  $   135.87  
27435 $ 11142   $  2434712258  $  9093894856     $     8915750  $   270578182  $   266602412  $     9174316  $      49      $       0      $      97      $           0  $              $0.267730      $8915750.000000      $17.265207 $17.011520 $0.585400 $     1.01  $    29.06  
27463 $  2005   $  6173537902  $  9104305312     $    14907858  $   192113913  $   192172299  $   187624928  $       0      $       0      $      97      $           0  $              $0.678090      $14907858.000000      $12.258515 $12.262240 $11.972079 $     1.00  $     1.02  
27439 $ 12030   $ 15280179525  $  9124248741     $      630286  $  1927909008  $     6730802  $     5136108  $      52      $       0      $      97      $           0  $              $1.674678      $630286.000000      $123.139893 $0.429911 $0.328055 $   286.43  $     1.31  
27437 $ 12029   $ 23122014390  $  9146665882     $      566261  $   361539024  $   361540861  $     2662923  $       0      $       0      $      97      $           0  $              $2.527917      $566261.000000      $23.092312 $23.092430 $0.170087 $     1.00  $   135.77  
27435 $ 12144   $  2403647910  $  9101031672     $     8925222  $   274129951  $   270052482  $     8925280  $      49      $       0      $      97      $           0  $              $0.264107      $8925222.000000      $17.509298 $17.248861 $0.570078 $     1.02  $    30.26  
27463 $  3007   $  6191446082  $  9103712387     $    14911883  $   192490708  $   192549232  $   187984002  $       0      $       0      $      97      $           0  $              $0.680101      $14911883.000000      $12.294815 $12.298553 $12.006962 $     1.00  $     1.02  
27439 $ 13032   $ 15280878052  $  9124310563     $      632584  $  1928026115  $     6723001  $     5147547  $      52      $       0      $      97      $           0  $              $1.674743      $632584.000000      $123.147377 $0.429413 $0.328785 $   286.78  $     1.31  
27437 $ 13031   $ 23205134485  $  9153882398     $      523536  $   363031937  $   363023956  $     2528421  $       0      $       0      $      97      $           0  $              $2.535005      $523536.000000      $23.187668 $23.187160 $0.161496 $     1.00  $   143.58  
27435 $ 13146   $  2401981050  $  9101972607     $     8924874  $   273904077  $   269875614  $     8924919  $      49      $       0      $      97      $           0  $              $0.263897      $8924874.000000      $17.494871 $17.237564 $0.570055 $     1.01  $    30.24  
27463 $  4009   $  6182788323  $  9104648883     $    14928219  $   192633184  $   192692725  $   188123418  $       0      $       0      $      97      $           0  $              $0.679080      $14928219.000000      $12.303916 $12.307718 $12.015867 $     1.00  $     1.02  
27439 $ 14034   $ 15279697987  $  9124654352     $      630319  $  1927822517  $     6719846  $     5137163  $      52      $       0      $      97      $           0  $              $1.674551      $630319.000000      $123.134369 $0.429212 $0.328122 $   286.88  $     1.31  
27437 $ 14033   $ 23125835863  $  9147891102     $      563560  $   361599953  $   361601682  $     2654163  $       0      $       0      $      97      $           0  $              $2.527997      $563560.000000      $23.096205 $23.096315 $0.169527 $     1.00  $   136.24  
27435 $ 14149   $  2401928091  $  9101017480     $     8923528  $   273924499  $   269872794  $     8923520  $      49      $       0      $      97      $           0  $              $0.263919      $8923528.000000      $17.478733 $17.220198 $0.569397 $     1.02  $    30.24  
27463 $  5012   $  6149030404  $  9103771574     $    15005692  $   193269166  $   193327099  $   188745359  $       0      $       0      $      97      $           0  $              $0.675438      $15005692.000000      $12.332230 $12.335927 $12.043572 $     1.00  $     1.02  
27437 $ 14647   $ 14309477551  $  5658034592     $      324323  $   223716306  $   223717046  $     1480056  $       0      $       0      $      97      $           0  $              $2.529054      $324323.000000      $23.318964 $23.319040 $0.154273 $     1.00  $   151.15  
27439 $ 14648   $  8083929013  $  4824748116     $      295094  $  1022355784  $     3319118  $     2569004  $      30      $       0      $      97      $           0  $              $1.675513      $295094.000000      $106.564774 $0.345967 $0.267779 $   308.02  $     1.29  
27437 $ 14995   $  8057114230  $  3147823714     $       29783  $   126122148  $   126103080  $       95100  $       0      $       0      $      97      $           0  $              $2.559582      $29783.000000      $23.194878 $23.191372 $0.017490 $     1.00  $  1326.01  
27435 $ 14151   $     1154887  $     4296164     $        3728  $      135273  $      129723  $        3720  $       0      $       0      $      97      $           0  $              $0.268818      $3728.000000      $4.328736 $4.151136 $0.119040 $     1.04  $    34.87  
27463 $  5014   $     1178964  $     2438848     $        3640  $       44316  $       44329  $       43259  $       0      $       0      $      97      $           0  $              $0.483410      $3640.000000      $1.418112 $1.418528 $1.384288 $     1.00  $     1.02  
27435 $ 14152   $      780431  $     2222976     $        3038  $       88427  $       87342  $        3032  $       0      $       0      $      97      $           0  $              $0.351075      $3038.000000      $5.659328 $5.589888 $0.194048 $     1.01  $    28.81  
27463 $  5015   $     1088480  $     1227909     $        2394  $       40917  $       40989  $       40097  $       0      $       0      $      97      $           0  $              $0.886450      $2394.000000      $2.618688 $2.623296 $2.566208 $     1.00  $     1.02  
27435 $ 15155   $  2428695839  $  9070151003     $     8912832  $   270334957  $   266339630  $     9165439  $      49      $       0      $      97      $           0  $              $0.267768      $8912832.000000      $17.249687 $16.994753 $0.584834 $     1.02  $    29.06  
27463 $  6018   $  6134958877  $  9081544501     $    14967103  $   192729479  $   192787858  $   188226109  $       0      $       0      $      97      $           0  $              $0.675541      $14967103.000000      $12.297792 $12.301518 $12.010440 $     1.00  $     1.02  
27468 $  1002   $ 14783923921  $  8872221588     $      678574  $  1864274574  $     7324468  $     5052875  $      51      $       0      $      65      $           0  $              $1.666316      $678574.000000      $119.075424 $0.467830 $0.322739 $   254.53  $     1.45  
27470 $  1003   $ 22370214961  $  8917858575     $      701780  $   350014694  $   350049637  $     3777042  $       0      $       0      $      97      $           0  $              $2.508474      $701780.000000      $22.333939 $22.336168 $0.241008 $     1.00  $    92.68  
27435 $ 16157   $  2626434291  $  9146479970     $     9597788  $   298774981  $   294681323  $     9597811  $      48      $       0      $      97      $           0  $              $0.287152      $9597788.000000      $19.083431 $18.821960 $0.613034 $     1.01  $    30.70  
27463 $  7020   $  6510475565  $  8586677931     $    12174871  $   160475781  $   160523703  $   156962774  $       0      $       0      $      97      $           0  $              $0.758207      $12174871.000000      $10.249949 $10.253011 $10.025566 $     1.00  $     1.02  
27468 $  2004   $ 15291440081  $  9135363009     $      658131  $  1929079459  $     7122536  $     5136779  $      52      $       0      $      65      $           0  $              $1.673873      $658131.000000      $123.214653 $0.454932 $0.328098 $   270.84  $     1.39  
27470 $  2005   $ 23082543618  $  9160118263     $      647573  $   360923597  $   360933836  $     3468057  $       0      $       0      $      97      $           0  $              $2.519896      $647573.000000      $23.053003 $23.053658 $0.221513 $     1.00  $   104.07  
27435 $ 16520   $  1248734031  $  3396938177     $     3214795  $   141135784  $   139588493  $     3214808  $      13      $       0      $      97      $           0  $              $0.367606      $3214795.000000      $24.883442 $24.610643 $0.566798 $     1.01  $    43.42  
27463 $  7383   $  1132723910  $   473522682     $      426618  $     8868723  $     8872649  $     8867022  $       0      $       0      $      97      $           0  $              $2.392122      $426618.000000      $1.563632 $1.564324 $1.563332 $     1.00  $     1.00  
27435 $ 17238   $  2553972581  $  6828612111     $       83158  $   287899427  $   285318257  $       83158  $      25      $       0      $      97      $           0  $              $0.374010      $83158.000000      $25.662344 $25.432270 $0.007412 $     1.01  $  3431.04  
27468 $  2005   $     6015255  $     3562395     $         102  $      770471  $        1792  $        1422  $       0      $       0      $      65      $           0  $              $1.688542      $102.000000      $49.310143 $0.114688 $0.091008 $   429.95  $     1.26  
27470 $  2006   $     4794076  $     2065441     $        1849  $       75058  $       75023  $       14989  $       0      $       0      $      97      $           0  $              $2.321091      $1849.000000      $4.803712 $4.801472 $0.959296 $     1.00  $     5.01  
27468 $  3008   $ 15293119675  $  9135788316     $      657218  $  1929336655  $     7130187  $     5132792  $      52      $       0      $      65      $           0  $              $1.673979      $657218.000000      $123.108223 $0.454967 $0.327516 $   270.59  $     1.39  
27470 $  3009   $ 23166489416  $  9166940518     $      582347  $   362436170  $   362431154  $     3210448  $       0      $       0      $      97      $           0  $              $2.527178      $582347.000000      $23.126535 $23.126217 $0.204854 $     1.00  $   112.89  
27435 $ 18095   $  3104884542  $  8299227009     $      220435  $   349018709  $   345832686  $      220684  $      30      $       0      $      97      $           0  $              $0.374117      $220435.000000      $26.064409 $25.826477 $0.016480 $     1.01  $  1567.09  
27478 $3820996125   $        4922  $       47644     $         205  $         329  $         829  $         175  $       0      $       0      $      97      $18446744069299787426  $              $0.103308      $205.000000      $0.000005 $0.000013 $0.000003 $     0.40  $     4.74  
