PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
27652 $  1003   $ 14796078520  $  8876446867     $     1270530  $   330402918  $   432249992  $     4698699  $      48      $       0      $      97      $           0  $              $1.666892      $1270530.000000      $21.082539 $27.581255 $0.299817 $     0.76  $    91.99  
27650 $  1003   $  5094533555  $  8836690048     $    29458097  $   224636670  $   149560703  $   144652973  $       0      $       0      $      97      $           0  $              $0.576521      $29458096.000000      $14.333746 $9.543255 $9.230101 $     1.50  $     1.03  
27648 $  1003   $  2854696978  $  6831885931     $     6461168  $    69242010  $    70959534  $    63317580  $      46      $       0      $      97      $           0  $              $0.417849      $6461168.000000      $4.418234 $4.527827 $4.040205 $     0.98  $     1.12  
27646 $  1003   $  3323755007  $  8823571784     $    17466272  $   140558546  $    93759677  $    92151416  $       0      $       0      $      97      $           0  $              $0.376690      $17466272.000000      $8.968841 $5.982672 $5.880051 $     1.50  $     1.02  
27652 $  2006   $ 15134497695  $  9108073153     $     1273464  $   337923817  $   442084579  $     4562062  $      49      $       0      $      97      $           0  $              $1.661657      $1273464.000000      $21.562437 $28.208786 $0.291099 $     0.76  $    96.90  
27650 $  2006   $  5296922920  $  9113930887     $    31595254  $   240714478  $   160662786  $   155517135  $       0      $       0      $      97      $           0  $              $0.581190      $31595254.000000      $15.359648 $10.251663 $9.923326 $     1.50  $     1.03  
27648 $  2006   $  3165924095  $  9097819987     $     9388679  $    97997340  $    98033696  $    96343763  $      47      $       0      $      97      $           0  $              $0.347987      $9388679.000000      $6.253071 $6.255390 $6.147558 $     1.00  $     1.02  
27646 $  2006   $  3183012607  $  9092150459     $    17863837  $   146260423  $    97420168  $    96038459  $       0      $       0      $      97      $           0  $              $0.350084      $17863836.000000      $9.332668 $6.216242 $6.128077 $     1.50  $     1.01  
27652 $  3009   $ 15114813725  $  9106752571     $     1268122  $   337295049  $   440456901  $     4575697  $      49      $       0      $      97      $           0  $              $1.659737      $1268122.000000      $21.522316 $28.104927 $0.291969 $     0.77  $    96.26  
27650 $  3009   $  5297163239  $  9112839843     $    31561176  $   240759136  $   160569049  $   155421861  $       0      $       0      $      97      $           0  $              $0.581286      $31561176.000000      $15.362497 $10.245683 $9.917247 $     1.50  $     1.03  
27648 $  3009   $  3243388597  $  9097772521     $     9694628  $   103063776  $   103097900  $   101354242  $      47      $       0      $      97      $           0  $              $0.356504      $9694628.000000      $6.576353 $6.578530 $6.467269 $     1.00  $     1.02  
27646 $  3009   $  3168684144  $  9091808750     $    17294133  $   141567174  $    94755601  $    93417260  $       0      $       0      $      97      $           0  $              $0.348521      $17294132.000000      $9.033199 $6.046220 $5.960823 $     1.49  $     1.01  
27652 $  4012   $ 15120105743  $  9108577557     $     1260479  $   337336870  $   439827561  $     4546091  $      49      $       0      $      97      $           0  $              $1.659985      $1260479.000000      $21.524984 $28.064770 $0.290080 $     0.77  $    96.75  
27650 $  4011   $  5307231616  $  9113756539     $    31520616  $   241189143  $   160563261  $   155411416  $       0      $       0      $      97      $           0  $              $0.582332      $31520616.000000      $15.405294 $10.255538 $9.926478 $     1.50  $     1.03  
