PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 2882 $  1004   $  3390392031  $  8981050417     $     5602110  $   375951179  $   368119989  $     6024333  $      43      $       0      $      97      $           0  $              $0.377505      $5602110.000000      $23.965015 $23.465816 $0.384021 $     1.02  $    61.11  
 2880 $  1004   $  1238841413  $  6917560432     $      721686  $   244264938  $   242855910  $     1154801  $       0      $       0      $      97      $           0  $              $0.179086      $721686.000000      $15.570674 $15.480854 $0.073613 $     1.01  $   210.30  
 2878 $  1003   $ 17195536708  $  8999387749     $      554228  $   381616523  $   506072999  $     1955516  $      47      $       0      $      97      $           0  $              $1.910745      $554228.000000      $24.350405 $32.291798 $0.124779 $     0.75  $   258.79  
 2876 $  1003   $  3122543708  $  8858422046     $     1670340  $   389259892  $   387419105  $     2092786  $       0      $       0      $      97      $           0  $              $0.352494      $1670340.000000      $24.838120 $24.720661 $0.133538 $     1.00  $   185.12  
 2882 $  2006   $  3444351955  $  9189867618     $     6442996  $   392749578  $   384139324  $     6443044  $      43      $       0      $      97      $           0  $              $0.374799      $6442996.000000      $25.085800 $24.535845 $0.411532 $     1.02  $    59.62  
 2880 $  2006   $  1173028308  $  6362447420     $      659737  $   220047145  $   218762094  $      710252  $       0      $       0      $      97      $           0  $              $0.184367      $659737.000000      $14.054908 $13.972829 $0.045365 $     1.01  $   308.01  
 2878 $  2006   $ 17644584265  $  9178603008     $      514856  $   391311355  $   517928314  $     1571162  $      48      $       0      $      97      $           0  $              $1.922361      $514856.000000      $24.969021 $33.048267 $0.100254 $     0.76  $   329.65  
 2876 $  2006   $  3209782696  $  9172867157     $     1659694  $   405466164  $   403585315  $     1659909  $       0      $       0      $      97      $           0  $              $0.349921      $1659694.000000      $25.872219 $25.752203 $0.105916 $     1.00  $   243.14  
 2882 $  3008   $  3482209013  $  9396730152     $     6727211  $   404393600  $   395627291  $     6727259  $      43      $       0      $      97      $           0  $              $0.370577      $6727211.000000      $25.829531 $25.269608 $0.429685 $     1.02  $    58.81  
 2880 $  3008   $  1103014293  $  5913571542     $      607350  $   202263399  $   201150601  $      653503  $       0      $       0      $      97      $           0  $              $0.186523      $607350.000000      $12.919019 $12.847943 $0.041741 $     1.01  $   307.80  
