PID 	$CMD 	$TIME 	$IPC 	$MEM_INT 	$L1 BW 	$L2 BW 	$L3 BW 	$L2 REUSE 	$L3 REUSE 	$GANG    
3559 	$./bin/uniform/ft.A 	$3068 	$1.167336 	$16494828.000000 	$18.181320 	$3.390943 	$1.553413 	$     5.36 	$     2.18 	$ 1 	$ 3   
3587 	$./bin/uniform/ft.A 	$3043 	$1.153562 	$17087392.000000 	$18.063280 	$3.180336 	$1.584358 	$     5.68 	$     2.01 	$ 1 	$ 3   
3603 	$./bin/uniform/ft.A 	$3030 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 3   
3563 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14839 	$1.671408 	$499418.875000 	$104.807747 	$0.391368 	$0.282730 	$   272.36 	$     1.52 	$ 2 	$ 18   
3608 	$./bin/uniform/ft.A 	$3023 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 4   
3565 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15617 	$1.981863 	$2440409.473684 	$21.905620 	$20.043843 	$2.955482 	$     1.09 	$     6.60 	$ 2 	$ 21   
3615 	$./bin/uniform/ft.A 	$4270 	$1.534990 	$25996779.000000 	$34.498743 	$5.832408 	$2.909227 	$     5.76 	$     2.00 	$ 1 	$ 4   
3631 	$./bin/uniform/ft.A 	$3175 	$1.418126 	$-nan 	$32.582533 	$5.553304 	$3.184069 	$     5.60 	$     1.71 	$ 1 	$ 4   
3636 	$./bin/uniform/ft.A 	$3244 	$1.369690 	$-nan 	$31.231425 	$6.382256 	$3.038505 	$     4.75 	$     2.02 	$ 1 	$ 4   
3613 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14817 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 20   
3620 	$./bin/uniform/syr2k_STANDARD dummy.out 20 	$15499 	$1.994667 	$2555041.500000 	$23.510492 	$21.748341 	$3.087519 	$     1.08 	$     6.97 	$ 2 	$ 20   
3641 	$./bin/uniform/ft.A 	$3253 	$0.000000 	$-nan 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 1 	$ 6   
3657 	$./bin/uniform/ft.A 	$3260 	$1.367403 	$-nan 	$31.093795 	$8.135422 	$2.836928 	$     3.81 	$     2.70 	$ 1 	$ 4   
3662 	$./bin/uniform/ft.A 	$3213 	$1.397571 	$-nan 	$31.840397 	$6.752744 	$2.886522 	$     4.61 	$     2.24 	$ 1 	$ 4   
3643 	$./bin/uniform/doitgen_STANDARD dummy.out 100 	$14795 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$0.000000 	$     0.00 	$     0.00 	$ 2 	$ 19   
