PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
27509 $  1003   $  3329531037  $  8860807066     $     4859034  $   366272176  $   361830157  $     5280436  $      49      $       0      $      97      $           0  $              $0.375759      $4859034.000000      $23.371305 $23.087866 $0.336937 $     1.01  $    68.52  
27507 $  1004   $ 21968548997  $  8814063233     $     1135097  $   343750907  $   343789787  $     6529444  $       0      $       0      $      97      $           0  $              $2.492443      $1135097.000000      $21.912409 $21.914886 $0.416220 $     1.00  $    52.65  
27505 $  1003   $  1163262447  $  7025325978     $     4978230  $   240638699  $   236753152  $     5379081  $      46      $       0      $      97      $           0  $              $0.165581      $4978230.000000      $15.354813 $15.106881 $0.343231 $     1.02  $    44.01  
27503 $  1003   $  5433718912  $  7944915256     $    11563903  $   150901505  $   152565896  $   142551174  $       0      $       0      $      97      $           0  $              $0.683924      $11563903.000000      $9.628810 $9.735012 $9.095986 $     0.99  $     1.07  
27509 $  2005   $  3410168719  $  9147458085     $     5143699  $   385799865  $   381154476  $     5143839  $      51      $       0      $      97      $           0  $              $0.372800      $5143699.000000      $24.641909 $24.345196 $0.328549 $     1.01  $    74.10  
27507 $  2006   $ 22868057519  $  9138446418     $     1085240  $   357609318  $   357629239  $     6269000  $       0      $       0      $      97      $           0  $              $2.502401      $1085240.000000      $22.841312 $22.842587 $0.400415 $     1.00  $    57.05  
27505 $  2006   $  1009324253  $  5945864836     $     4612564  $   194925668  $   191505148  $     4678888  $      44      $       0      $      97      $           0  $              $0.169752      $4612564.000000      $12.437929 $12.219670 $0.298553 $     1.02  $    40.93  
27503 $  2006   $  6308036704  $  9120781639     $    15164224  $   195514523  $   195570795  $   191081229  $       0      $       0      $      97      $           0  $              $0.691611      $15164224.000000      $12.475503 $12.479094 $12.192621 $     1.00  $     1.02  
27509 $  3008   $  3386555540  $  9151052984     $     5145719  $   387983754  $   383437740  $     5145719  $      51      $       0      $      97      $           0  $              $0.370073      $5145719.000000      $24.756689 $24.466616 $0.328341 $     1.01  $    74.52  
27507 $  3008   $ 22963648403  $  9145654536     $     1019495  $   359310058  $   359322378  $     6007213  $       0      $       0      $      97      $           0  $              $2.510881      $1019495.000000      $22.949944 $22.950729 $0.383694 $     1.00  $    59.82  
27505 $  3008   $   872104437  $  4983462575     $     4123856  $   158235072  $   155304178  $     4189235  $      43      $       0      $      97      $           0  $              $0.175000      $4123856.000000      $10.106831 $9.919628 $0.267576 $     1.02  $    37.07  
27503 $  3008   $  6299764342  $  9352446201     $    15620784  $   197730129  $   197789797  $   193339039  $       0      $       0      $      97      $           0  $              $0.673595      $15620784.000000      $12.629469 $12.633280 $12.349001 $     1.00  $     1.02  
27509 $  4011   $  3182273536  $  9165636103     $     5246025  $   403928045  $   400273907  $     5246030  $      50      $       0      $      97      $           0  $              $0.347196      $5246025.000000      $25.774073 $25.540909 $0.334742 $     1.01  $    76.30  
27507 $  4011   $ 22912141795  $  9144809706     $     1019754  $   358298617  $   358320927  $     5681394  $       0      $       0      $      97      $           0  $              $2.505481      $1019754.000000      $22.862524 $22.863947 $0.362522 $     1.00  $    63.07  
27505 $  4010   $  1130897896  $  6836287369     $     5349159  $   224456985  $   220785216  $     5335249  $      46      $       0      $      97      $           0  $              $0.165426      $5349159.000000      $14.336575 $14.102050 $0.340774 $     1.02  $    41.38  
27503 $  4010   $  6183664309  $  9215539371     $    15344450  $   194651586  $   194709378  $   190167135  $       0      $       0      $      97      $           0  $              $0.671004      $15344450.000000      $12.432836 $12.436527 $12.146404 $     1.00  $     1.02  
27509 $  5013   $  3182230361  $  9164860752     $     5248348  $   403904799  $   400270366  $     5248330  $      50      $       0      $      97      $           0  $              $0.347221      $5248348.000000      $25.798311 $25.566172 $0.335223 $     1.01  $    76.27  
27507 $  5014   $ 22914375027  $  9143901783     $     1018659  $   358337900  $   358360997  $     5698145  $       0      $       0      $      97      $           0  $              $2.505973      $1018659.000000      $22.865030 $22.866505 $0.363591 $     1.00  $    62.89  
27505 $  5012   $  1019584262  $  6235909060     $     4822600  $   212091146  $   207833526  $     4889051  $      45      $       0      $      97      $           0  $              $0.163502      $4822600.000000      $13.546741 $13.274796 $0.312275 $     1.02  $    42.51  
27503 $  5012   $  6251734227  $  9202464157     $    15388531  $   195986456  $   196045055  $   191501744  $       0      $       0      $      97      $           0  $              $0.679354      $15388531.000000      $12.518098 $12.521840 $12.231648 $     1.00  $     1.02  
27509 $  6015   $  3292397340  $  9163942027     $     5381131  $   395231501  $   391220494  $     5666957  $      51      $       0      $      97      $           0  $              $0.359277      $5381131.000000      $25.244326 $24.988134 $0.361961 $     1.01  $    69.04  
27507 $  6016   $ 22957291237  $  9149015720     $     1022348  $   359206779  $   359215543  $     5947023  $       0      $       0      $      97      $           0  $              $2.509264      $1022348.000000      $22.943348 $22.943907 $0.379850 $     1.00  $    60.40  
27505 $  6014   $   883699024  $  5082693753     $     4110800  $   163516032  $   160332665  $     4176476  $      43      $       0      $      97      $           0  $              $0.173864      $4110800.000000      $10.444138 $10.240809 $0.266761 $     1.02  $    38.39  
27503 $  6014   $  6352335935  $  9203508999     $    15470792  $   197938565  $   197995530  $   193489311  $       0      $       0      $      97      $           0  $              $0.690208      $15470792.000000      $12.642782 $12.646421 $12.358599 $     1.00  $     1.02  
27509 $  7017   $  3415362387  $  9161660694     $     5133713  $   386130976  $   381736539  $     5133706  $      51      $       0      $      97      $           0  $              $0.372789      $5133713.000000      $24.663055 $24.382374 $0.327901 $     1.01  $    74.36  
27507 $  7018   $ 22870006635  $  9140372142     $     1074920  $   357636075  $   357659434  $     6216942  $       0      $       0      $      97      $           0  $              $2.502087      $1074920.000000      $22.843021 $22.844515 $0.397090 $     1.00  $    57.53  
27505 $  7017   $  1157921308  $  6448749022     $     4519651  $   207615030  $   204076089  $     4509097  $      42      $       0      $      97      $           0  $              $0.179558      $4519651.000000      $13.247619 $13.021805 $0.287719 $     1.02  $    45.26  
27503 $  7017   $  6506145552  $  7934536876     $    10883975  $   144707339  $   144750776  $   141692494  $       0      $       0      $      97      $           0  $              $0.819978      $10883975.000000      $9.233569 $9.236341 $9.041196 $     1.00  $     1.02  
27509 $  8020   $  3416323441  $  9161560478     $     5144970  $   386157465  $   381816374  $     5144929  $      51      $       0      $      97      $           0  $              $0.372898      $5144970.000000      $24.640158 $24.363159 $0.328291 $     1.01  $    74.21  
27507 $  8021   $ 22872685292  $  9140958985     $     1071159  $   357683809  $   357703026  $     6180655  $       0      $       0      $      97      $           0  $              $2.502219      $1071159.000000      $22.823294 $22.824520 $0.394379 $     1.00  $    57.87  
27505 $  7244   $   129801050  $   727713505     $      306287  $    28432513  $    28311984  $      360378  $       6      $       0      $      97      $           0  $              $0.178368      $306287.000000      $8.016214 $7.982234 $0.101604 $     1.00  $    78.56  
27503 $  7244   $   456796788  $   190761591     $      172043  $     3576681  $     3578850  $     3575943  $       0      $       0      $      97      $           0  $              $2.394595      $172043.000000      $1.008403 $1.009015 $1.008195 $     1.00  $     1.00  
27505 $  8096   $  1130224146  $  6466710072     $        1698  $   230220212  $   229282182  $        1640  $      26      $       0      $      97      $           0  $              $0.174776      $1698.000000      $17.293537 $17.223074 $0.000123 $     1.00  $139806.20  
27509 $  8021   $     1365982  $     3983575     $        4137  $      154386  $      152648  $        4129  $       0      $       0      $      97      $           0  $              $0.342904      $4137.000000      $9.880704 $9.769472 $0.264256 $     1.01  $    36.97  
27507 $  8022   $     5001421  $     2260946     $        2523  $       78218  $       78200  $       16841  $       0      $       0      $      97      $           0  $              $2.212092      $2523.000000      $5.005952 $5.004800 $1.077824 $     1.00  $     4.64  
27509 $  9024   $  3282362482  $  9163225172     $     5184912  $   396371160  $   392383748  $     5184881  $      50      $       0      $      97      $           0  $              $0.358210      $5184912.000000      $25.291880 $25.037447 $0.330840 $     1.01  $    75.68  
27507 $  9025   $ 22980426827  $  9148740669     $      969755  $   359570413  $   359581870  $     5614307  $       0      $       0      $      97      $           0  $              $2.511868      $969755.000000      $22.943674 $22.944407 $0.358241 $     1.00  $    64.05  
27505 $  9099   $  1197903971  $  6435767160     $       48041  $   221061880  $   220178020  $       93387  $      30      $       0      $      97      $           0  $              $0.186132      $48041.000000      $14.105644 $14.049245 $0.005959 $     1.00  $  2357.69  
27509 $ 10026   $  3181799406  $  9164443041     $     5242663  $   403861588  $   400216983  $     5242658  $      50      $       0      $      97      $           0  $              $0.347190      $5242663.000000      $25.795551 $25.562761 $0.334860 $     1.01  $    76.34  
27507 $ 10027   $ 22912148008  $  9142668004     $     1011434  $   358295668  $   358314775  $     5627481  $       0      $       0      $      97      $           0  $              $2.506068      $1011434.000000      $22.885153 $22.886374 $0.359440 $     1.00  $    63.67  
27505 $ 10102   $   966028986  $  5545685041     $     4293303  $   181516831  $   178767002  $     4360600  $      44      $       0      $      97      $           0  $              $0.174195      $4293303.000000      $11.582331 $11.406868 $0.278244 $     1.02  $    41.00  
27534 $  1003   $  5560214695  $  8091407655     $    11850167  $   153959281  $   155722607  $   145566386  $       0      $       0      $      97      $           0  $              $0.687175      $11850167.000000      $9.823922 $9.936438 $9.288383 $     0.99  $     1.07  
27509 $ 11028   $  3181684772  $  9164325248     $     5224012  $   403820363  $   400200467  $     5224010  $      50      $       0      $      97      $           0  $              $0.347182      $5224012.000000      $25.792917 $25.561707 $0.333669 $     1.01  $    76.61  
27507 $ 11029   $ 22908586171  $  9142974186     $     1014481  $   358244551  $   358266741  $     5673070  $       0      $       0      $      97      $           0  $              $2.505594      $1014481.000000      $22.881887 $22.883305 $0.362352 $     1.00  $    63.15  
27505 $ 11105   $   973407213  $  5604824207     $     4556436  $   177520966  $   174402693  $     4542787  $      44      $       0      $      97      $           0  $              $0.173673      $4556436.000000      $11.327359 $11.128386 $0.289869 $     1.02  $    38.39  
27534 $  2006   $  6331335651  $  9324224552     $    15471250  $   196324412  $   196386834  $   191895742  $       0      $       0      $      97      $           0  $              $0.679020      $15471250.000000      $12.527181 $12.531164 $12.244594 $     1.00  $     1.02  
