PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
28302 $  1003   $  3303396471  $  8813762249     $     4805680  $   369285819  $   365084697  $     5236136  $      49      $       0      $      97      $           0  $              $0.374800      $4805680.000000      $23.563602 $23.295534 $0.334110 $     1.01  $    69.72  
28300 $  1003   $ 21401538047  $  8832054773     $      664809  $   347062920  $   424264669  $     3711305  $       0      $       0      $      97      $           0  $              $2.423167      $664809.000000      $22.145590 $27.071724 $0.236813 $     0.82  $   114.32  
28298 $  1003   $  3614082376  $  7848240101     $     3166273  $    40003664  $    36390972  $    30311672  $      48      $       0      $      97      $           0  $              $0.460496      $3166273.000000      $2.552577 $2.322056 $1.934145 $     1.10  $     1.20  
28296 $  1003   $ 17081878116  $  8917495720     $     4180341  $   372879489  $   338592462  $    65537139  $       0      $       0      $      97      $           0  $              $1.915547      $4180341.000000      $23.792908 $21.605101 $4.181831 $     1.10  $     5.17  
28302 $  2005   $  3412640050  $  9159651164     $     5018001  $   385664135  $   381390589  $     5018026  $      50      $       0      $      97      $           0  $              $0.372573      $5018001.000000      $24.633238 $24.360277 $0.320513 $     1.01  $    76.00  
28300 $  2005   $ 22073459963  $  9119683202     $      595405  $   357128258  $   434543407  $     3605051  $       0      $       0      $      97      $           0  $              $2.420420      $595405.000000      $22.810587 $27.755266 $0.230263 $     0.82  $   120.54  
28298 $  2006   $  4198513798  $  9011672434     $     3666526  $    46980891  $    42698628  $    35377914  $      50      $       0      $      97      $           0  $              $0.465897      $3666526.000000      $2.997784 $2.724539 $2.257414 $     1.10  $     1.21  
28296 $  2006   $ 17617165724  $  9099807909     $     4314718  $   385724422  $   349981628  $    68943616  $       0      $       0      $      97      $           0  $              $1.935993      $4314718.000000      $24.612526 $22.331829 $4.399194 $     1.10  $     5.08  
28302 $  3007   $  3434554809  $  9152611205     $     5107724  $   383532835  $   379245565  $     5317552  $      51      $       0      $      97      $           0  $              $0.375254      $5107724.000000      $24.497107 $24.223270 $0.339644 $     1.01  $    71.32  
28300 $  3007   $ 22151562049  $  9125807867     $      592693  $   359277899  $   441723134  $     3513156  $       0      $       0      $      97      $           0  $              $2.427353      $592693.000000      $22.947889 $28.213854 $0.224393 $     0.81  $   125.73  
28298 $  3008   $  4149385172  $  9018302757     $     3473784  $    45207587  $    41305867  $    34510279  $      50      $       0      $      97      $           0  $              $0.460107      $3473784.000000      $2.887511 $2.638299 $2.204249 $     1.09  $     1.20  
28296 $  3008   $ 17628160742  $  9100801325     $     4300948  $   385928721  $   350193654  $    68854385  $       0      $       0      $      97      $           0  $              $1.936990      $4300948.000000      $24.650139 $22.367659 $4.397885 $     1.10  $     5.09  
28302 $  4009   $  3412979954  $  9159790067     $     4984224  $   385750240  $   381433805  $     4984249  $      51      $       0      $      97      $           0  $              $0.372605      $4984224.000000      $24.638739 $24.363037 $0.318355 $     1.01  $    76.53  
28300 $  4009   $ 22184020335  $  9125227133     $      573273  $   359448019  $   438444813  $     3391917  $       0      $       0      $      97      $           0  $              $2.431065      $573273.000000      $22.958757 $28.004457 $0.216649 $     0.82  $   129.26  
28298 $  4011   $  4197997551  $  9010237624     $     3663374  $    46966419  $    42696924  $    35374342  $      50      $       0      $      97      $           0  $              $0.465914      $3663374.000000      $2.996860 $2.724430 $2.257186 $     1.10  $     1.21  
28296 $  4011   $ 17614160165  $  9099341853     $     4306713  $   385654505  $   349891375  $    68925001  $       0      $       0      $      97      $           0  $              $1.935762      $4306713.000000      $24.608063 $22.326069 $4.398006 $     1.10  $     5.08  
28302 $  5011   $  3413777141  $  9160345187     $     4975018  $   385783119  $   381515595  $     4975015  $      51      $       0      $      97      $           0  $              $0.372669      $4975018.000000      $24.640837 $24.368261 $0.317765 $     1.01  $    76.69  
28300 $  5011   $ 22184497617  $  9126856545     $      587756  $   359307898  $   437507382  $     3404586  $       0      $       0      $      97      $           0  $              $2.430683      $587756.000000      $22.949806 $27.944584 $0.217459 $     0.82  $   128.51  
28298 $  5013   $  4149267702  $  9017947812     $     3481349  $    45194980  $    41258072  $    34513457  $      50      $       0      $      97      $           0  $              $0.460112      $3481349.000000      $2.886705 $2.635246 $2.204452 $     1.10  $     1.20  
28296 $  5013   $ 17564743465  $  9100328492     $     4341747  $   384454552  $   348864993  $    68925444  $       0      $       0      $      97      $           0  $              $1.930122      $4341747.000000      $24.555981 $22.282793 $4.402423 $     1.10  $     5.06  
28302 $  6013   $  3436625990  $  9153112085     $     5055526  $   383762022  $   379487484  $     5270764  $      51      $       0      $      97      $           0  $              $0.375460      $5055526.000000      $24.511745 $24.238722 $0.336656 $     1.01  $    72.00  
28300 $  6013   $ 22162981423  $  9126032474     $      616035  $   358914712  $   437966713  $     3501378  $       0      $       0      $      97      $           0  $              $2.428545      $616035.000000      $22.924692 $27.973923 $0.223641 $     0.82  $   125.08  
28298 $  6016   $  4200042575  $  9015511627     $     3668335  $    46969100  $    42681019  $    35389315  $      50      $       0      $      97      $           0  $              $0.465868      $3668335.000000      $2.997031 $2.723415 $2.258142 $     1.10  $     1.21  
28296 $  6016   $ 17622712977  $  9104644629     $     4312772  $   385857254  $   350089636  $    68940188  $       0      $       0      $      97      $           0  $              $1.935574      $4312772.000000      $24.621000 $22.338720 $4.398975 $     1.10  $     5.08  
